ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
F,GREEN,0.31,0.32,0.315,711,9058,14.5,2026-06-18,14.3,0.3,,,,31.5,0.010000000000000009,0.03174603174603177,True,True,True,True,[],0.48,0.5,0.49,1393,4050,14.5,2026-06-18,14.3,0.49,,,,49.0,0.020000000000000018,0.04081632653061228,True,True,True,True,[]
SOFI,GREEN,0.56,0.58,0.57,3291,14171,16,2026-06-18,15.875,0.58,,,,56.99999999999999,0.019999999999999907,0.03508771929824545,True,True,True,True,[],0.66,0.69,0.675,1896,16452,16,2026-06-18,15.875,0.67,,,,67.5,0.029999999999999916,0.044444444444444314,True,True,True,True,[]
TLT,GREEN,0.47,0.49,0.48,4523,48200,85,2026-06-18,84.87,0.49,,,,48.0,0.020000000000000018,0.041666666666666706,True,True,True,True,[],0.52,0.55,0.535,7976,73517,85,2026-06-18,84.87,0.51,,,,53.5,0.030000000000000027,0.056074766355140235,True,True,True,True,[]
MARA,YELLOW,0.75,0.81,0.78,120,755,12.5,2026-06-18,12.63,0.78,,,,78.0,0.06000000000000005,0.07692307692307698,False,False,False,False,"['premium too high ($78.00)', 'spread $0.060 > $0.05', 'spread_pct 7.7% > 7%', 'low liquidity (OI=755, Vol=120)']",0.6,0.63,0.615,697,2906,12.5,2026-06-18,12.63,0.59,,,,61.5,0.030000000000000027,0.04878048780487809,True,True,True,True,[]
VALE,YELLOW,0.3,0.32,0.31,2116,91561,15,2026-06-18,14.9391,0.31,,,,31.0,0.020000000000000018,0.06451612903225812,True,True,True,True,[],0.33,0.36,0.345,328,28674,15,2026-06-18,14.9391,0.34,,,,34.5,0.02999999999999997,0.08695652173913036,True,False,True,False,['spread_pct 8.7% > 7%']
CMCSA,YELLOW,0.47,0.5,0.485,224,1153,24,2026-06-18,23.95,0.48,,,,48.5,0.030000000000000027,0.06185567010309284,True,True,True,True,[],0.46,0.51,0.485,167,7398,24,2026-06-18,23.95,0.5,,,,48.5,0.04999999999999999,0.10309278350515462,True,False,True,False,['spread_pct 10.3% > 7%']
PFE,YELLOW,0.42,0.45,0.435,587,3405,25.5,2026-06-18,25.61,0.43,,,,43.5,0.030000000000000027,0.06896551724137938,True,True,True,True,[],0.27,0.3,0.285,493,3780,25.5,2026-06-18,25.61,0.28,,,,28.499999999999996,0.02999999999999997,0.10526315789473675,True,False,True,False,['spread_pct 10.5% > 7%']
ETHA,YELLOW,0.57,0.65,0.61,112,525,12,2026-06-18,12.24,0.62,,,,61.0,0.08000000000000007,0.13114754098360668,True,False,False,False,"['spread $0.080 > $0.05', 'spread_pct 13.1% > 7%', 'low liquidity (OI=525, Vol=112)']",0.31,0.33,0.32,614,19682,12,2026-06-18,12.24,0.31,,,,32.0,0.020000000000000018,0.06250000000000006,True,True,True,True,[]
KMI,YELLOW,0.42,0.45,0.435,86,6711,32,2026-06-18,31.84,0.44,,,,43.5,0.030000000000000027,0.06896551724137938,True,True,True,True,[],0.5,0.57,0.535,191,2592,32,2026-06-18,31.84,0.49,,,,53.5,0.06999999999999995,0.130841121495327,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 13.1% > 7%']"
TSLL,RED,0.82,0.87,0.845,895,4226,12,2026-06-18,12.01,0.86,,,,84.5,0.050000000000000044,0.05917159763313615,False,False,True,False,"['premium too high ($84.50)', 'spread $0.050 > $0.05']",0.77,0.8,0.785,671,5105,12,2026-06-18,12.01,0.79,,,,78.5,0.030000000000000027,0.03821656050955417,False,True,True,False,['premium too high ($78.50)']
