ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
TLT,GREEN,0.51,0.52,0.515,570,518,84.5,2026-07-17,84.53,0.5,,,,51.5,0.010000000000000009,0.019417475728155355,True,True,True,True,[],0.41,0.42,0.415,262,15516,84.5,2026-07-17,84.53,0.44,,,,41.5,0.010000000000000009,0.024096385542168697,True,True,True,True,[]
SOFI,GREEN,0.7,0.72,0.71,7213,9652,18.5,2026-07-17,18.605,0.7,,,,71.0,0.020000000000000018,0.028169014084507067,True,True,True,True,[],0.57,0.59,0.58,2186,2132,18.5,2026-07-17,18.605,0.58,,,,57.99999999999999,0.020000000000000018,0.03448275862068969,True,True,True,True,[]
IBIT,YELLOW,0.62,0.64,0.63,5075,19453,36,2026-07-17,35.75,0.63,,,,63.0,0.020000000000000018,0.03174603174603177,True,True,True,True,[],0.8,0.84,0.82,416,15120,36,2026-07-17,35.75,0.81,,,,82.0,0.039999999999999925,0.04878048780487796,False,True,True,False,['premium too high ($82.00)']
NU,YELLOW,0.4,0.43,0.415,1052,2702,13.5,2026-07-17,13.65,0.43,,,,41.5,0.02999999999999997,0.07228915662650595,True,False,True,False,['spread_pct 7.2% > 7%'],0.24,0.25,0.245,134,3020,13.5,2026-07-17,13.65,0.24,,,,24.5,0.010000000000000009,0.04081632653061228,True,True,True,True,[]
MARA,YELLOW,0.8,0.85,0.825,2557,12127,13,2026-07-17,13.2,0.8,,,,82.5,0.04999999999999993,0.06060606060606053,False,True,True,False,['premium too high ($82.50)'],0.56,0.6,0.58,1997,11709,13,2026-07-17,13.2,0.57,,,,57.99999999999999,0.039999999999999925,0.06896551724137918,True,True,True,True,[]
SLV,RED,1.46,1.52,1.49,13541,2095,54,2026-07-17,54.18,1.47,,,,149.0,0.06000000000000005,0.040268456375838965,False,False,True,False,"['premium too high ($149.00)', 'spread $0.060 > $0.05']",1.26,1.31,1.285,1186,2582,54,2026-07-17,54.18,1.28,,,,128.5,0.050000000000000044,0.03891050583657591,False,False,True,False,"['premium too high ($128.50)', 'spread $0.050 > $0.05']"
BAC,RED,1.28,1.33,1.305,2220,7136,59,2026-07-17,59.235,1.27,,,,130.5,0.050000000000000044,0.03831417624521077,False,False,True,False,"['premium too high ($130.50)', 'spread $0.050 > $0.05']",0.99,1.04,1.015,3507,2222,59,2026-07-17,59.235,1.04,,,,101.49999999999999,0.050000000000000044,0.049261083743842415,False,False,True,False,"['premium too high ($101.50)', 'spread $0.050 > $0.05']"
OXY,RED,0.96,1.02,0.99,6520,1943,52.5,2026-07-17,52.29,0.98,,,,99.0,0.06000000000000005,0.06060606060606066,False,False,True,False,"['premium too high ($99.00)', 'spread $0.060 > $0.05']",1.12,1.18,1.15,41,2183,52.5,2026-07-17,52.29,1.14,,,,114.99999999999999,0.05999999999999983,0.05217391304347812,False,False,True,False,"['premium too high ($115.00)', 'spread $0.060 > $0.05']"
RIVN,RED,0.79,0.85,0.82,12998,20937,18,2026-07-17,18.16,0.82,,,,82.0,0.05999999999999994,0.07317073170731701,False,False,True,False,"['premium too high ($82.00)', 'spread $0.060 > $0.05', 'spread_pct 7.3% > 7%']",0.65,0.7,0.675,2224,1563,18,2026-07-17,18.16,0.68,,,,67.5,0.04999999999999993,0.07407407407407397,True,False,True,False,['spread_pct 7.4% > 7%']
AA,RED,1.92,2.1,2.01,85,203,49,2026-07-17,48.72,1.9,,,,200.99999999999997,0.18000000000000016,0.08955223880597024,False,False,False,False,"['premium too high ($201.00)', 'spread $0.180 > $0.05', 'spread_pct 9.0% > 7%', 'low liquidity (OI=203, Vol=85)']",2.16,2.29,2.225,8,335,49,2026-07-17,48.72,2.3,,,,222.5,0.1299999999999999,0.05842696629213478,False,False,False,False,"['premium too high ($222.50)', 'spread $0.130 > $0.05', 'low liquidity (OI=335, Vol=8)']"
