ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.16,0.17,0.165,8242,2741,17.5,2026-07-17,17.325,0.17,,,,16.5,0.010000000000000009,0.060606060606060656,True,True,True,True,[],0.32,0.33,0.325,9768,14224,17.5,2026-07-17,17.325,0.33,,,,32.5,0.010000000000000009,0.030769230769230795,True,True,True,True,[]
SQQQ,YELLOW,0.64,0.68,0.66,9211,4885,41,2026-07-17,41.08,0.64,,,,66.0,0.040000000000000036,0.060606060606060656,True,True,True,True,[],0.76,0.81,0.785,958,2171,41,2026-07-17,41.08,0.75,,,,78.5,0.050000000000000044,0.06369426751592362,False,False,True,False,"['premium too high ($78.50)', 'spread $0.050 > $0.05']"
TQQQ,RED,1.06,1.12,1.09,5660,1574,71,2026-07-17,70.73,1.08,,,,109.00000000000001,0.06000000000000005,0.05504587155963307,False,False,True,False,"['premium too high ($109.00)', 'spread $0.060 > $0.05']",1.26,1.35,1.305,4235,4319,71,2026-07-17,70.73,1.27,,,,130.5,0.09000000000000008,0.06896551724137938,False,False,True,False,"['premium too high ($130.50)', 'spread $0.090 > $0.05']"
MARA,RED,0.22,0.24,0.23,4636,762,11.5,2026-07-17,11.44,0.23,,,,23.0,0.01999999999999999,0.08695652173913039,True,False,True,False,['spread_pct 8.7% > 7%'],0.28,0.31,0.295,7139,7986,11.5,2026-07-17,11.44,0.29,,,,29.5,0.02999999999999997,0.1016949152542372,True,False,True,False,['spread_pct 10.2% > 7%']
IBIT,RED,0.18,0.21,0.195,7278,13075,36.5,2026-07-17,36.38,0.18,,,,19.5,0.03,0.15384615384615383,True,False,True,False,['spread_pct 15.4% > 7%'],0.34,0.37,0.355,5561,6215,36.5,2026-07-17,36.38,0.36,,,,35.5,0.02999999999999997,0.08450704225352106,True,False,True,False,['spread_pct 8.5% > 7%']
BAC,RED,0.11,0.13,0.12,5146,16863,62,2026-07-17,61.515,0.11,,,,12.0,0.020000000000000004,0.1666666666666667,True,False,True,False,['spread_pct 16.7% > 7%'],0.57,0.64,0.605,1739,1029,62,2026-07-17,61.515,0.68,,,,60.5,0.07000000000000006,0.11570247933884308,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 11.6% > 7%']"
SLV,RED,0.41,0.45,0.43,4132,40,50.5,2026-07-17,50.39,0.44,,,,43.0,0.040000000000000036,0.09302325581395357,True,False,True,False,['spread_pct 9.3% > 7%'],0.62,0.77,0.695,7514,7039,50.5,2026-07-17,50.39,0.69,,,,69.5,0.15000000000000002,0.21582733812949645,True,False,True,False,"['spread $0.150 > $0.05', 'spread_pct 21.6% > 7%']"
F,RED,0.21,0.24,0.225,2825,19096,14,2026-07-17,14.18,0.23,,,,22.5,0.03,0.13333333333333333,True,False,True,False,['spread_pct 13.3% > 7%'],0.04,0.05,0.045,7168,18394,14,2026-07-17,14.18,0.05,,,,4.5,0.010000000000000002,0.22222222222222227,False,False,True,False,"['premium too low ($4.50)', 'spread_pct 22.2% > 7%']"
RIOT,RED,0.32,0.38,0.35,4174,363,19,2026-07-17,18.84,0.32,,,,35.0,0.06,0.17142857142857143,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 17.1% > 7%']",0.48,0.59,0.535,1341,6367,19,2026-07-17,18.84,0.53,,,,53.5,0.10999999999999999,0.20560747663551399,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 20.6% > 7%']"
RIVN,RED,0.32,0.35,0.335,3643,8379,17,2026-07-17,17.1,0.33,,,,33.5,0.02999999999999997,0.08955223880597006,True,False,True,False,['spread_pct 9.0% > 7%'],0.22,0.3,0.26,3504,8795,17,2026-07-17,17.1,0.25,,,,26.0,0.07999999999999999,0.30769230769230765,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 30.8% > 7%']"
OXY,RED,0.25,0.33,0.29,2920,9451,54,2026-07-17,53.655,0.29,,,,28.999999999999996,0.08000000000000002,0.2758620689655173,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 27.6% > 7%']",0.58,0.69,0.635,71,2184,54,2026-07-17,53.655,0.63,,,,63.5,0.10999999999999999,0.17322834645669288,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 17.3% > 7%']"
AAL,RED,0.23,0.28,0.255,357,367,15.5,2026-07-17,15.61,0.27,,,,25.5,0.05000000000000002,0.19607843137254907,True,False,False,False,"['spread $0.050 > $0.05', 'spread_pct 19.6% > 7%', 'low liquidity (OI=367, Vol=357)']",0.13,0.17,0.15,2573,8324,15.5,2026-07-17,15.61,0.14,,,,15.0,0.04000000000000001,0.2666666666666667,True,False,True,False,['spread_pct 26.7% > 7%']
PFE,RED,0.19,0.24,0.215,9666,27010,25,2026-07-17,25.14,0.2,,,,21.5,0.04999999999999999,0.23255813953488366,True,False,True,False,['spread_pct 23.3% > 7%'],0.07,0.09,0.08,3366,22357,25,2026-07-17,25.14,0.07,,,,8.0,0.01999999999999999,0.24999999999999986,True,False,True,False,['spread_pct 25.0% > 7%']
CCL,RED,0.18,0.22,0.2,1200,3102,27,2026-07-17,26.85,0.21,,,,20.0,0.04000000000000001,0.20000000000000004,True,False,True,False,['spread_pct 20.0% > 7%'],0.32,0.43,0.375,248,4883,27,2026-07-17,26.85,0.43,,,,37.5,0.10999999999999999,0.2933333333333333,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 29.3% > 7%']"
LYFT,RED,0.17,0.2,0.185,411,8256,16,2026-07-17,15.995,0.2,,,,18.5,0.03,0.16216216216216217,True,False,True,False,['spread_pct 16.2% > 7%'],0.17,0.25,0.21,122,2442,16,2026-07-17,15.995,0.23,,,,21.0,0.07999999999999999,0.38095238095238093,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 38.1% > 7%']"
GDX,RED,0.81,1.22,1.015,89,28,71,2026-07-17,71.43,1.08,,,,101.49999999999999,0.4099999999999999,0.40394088669950734,False,False,False,False,"['premium too high ($101.50)', 'spread $0.410 > $0.05', 'spread_pct 40.4% > 7%', 'low liquidity (OI=28, Vol=89)']",0.5,0.58,0.54,3010,1344,71,2026-07-17,71.43,0.53,,,,54.0,0.07999999999999996,0.14814814814814806,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 14.8% > 7%']"
AA,RED,0.79,1.18,0.985,1465,903,48,2026-07-17,47.53,1.03,,,,98.5,0.3899999999999999,0.39593908629441615,False,False,True,False,"['premium too high ($98.50)', 'spread $0.390 > $0.05', 'spread_pct 39.6% > 7%']",1.96,2.32,2.14,573,506,48,2026-07-17,47.53,2.13,,,,214.0,0.3599999999999999,0.1682242990654205,False,False,True,False,"['premium too high ($214.00)', 'spread $0.360 > $0.05', 'spread_pct 16.8% > 7%']"
UVXY,RED,0.23,0.3,0.265,4168,3026,24,2026-07-17,23.6,0.3,,,,26.5,0.06999999999999998,0.2641509433962263,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 26.4% > 7%']",0.55,0.75,0.65,784,973,24,2026-07-17,23.6,0.7,,,,65.0,0.19999999999999996,0.3076923076923076,True,False,True,False,"['spread $0.200 > $0.05', 'spread_pct 30.8% > 7%']"
T,RED,0.11,0.15,0.13,5039,10673,22,2026-07-17,22,0.13,,,,13.0,0.039999999999999994,0.30769230769230765,True,False,True,False,['spread_pct 30.8% > 7%'],0.11,0.15,0.13,3668,17119,22,2026-07-17,22,0.13,,,,13.0,0.039999999999999994,0.30769230769230765,True,False,True,False,['spread_pct 30.8% > 7%']
RF,RED,0.8,0.9,0.85,2945,3004,32,2026-07-17,32.395,0.85,,,,85.0,0.09999999999999998,0.11764705882352938,False,False,True,False,"['premium too high ($85.00)', 'spread $0.100 > $0.05', 'spread_pct 11.8% > 7%']",0.4,0.7,0.55,115,5,32,2026-07-17,32.395,0.55,,,,55.00000000000001,0.29999999999999993,0.5454545454545453,True,False,False,False,"['spread $0.300 > $0.05', 'spread_pct 54.5% > 7%', 'low liquidity (OI=5, Vol=115)']"
VALE,RED,0.2,0.33,0.265,7,845,14,2026-07-17,14.23,0.35,,,,26.5,0.13,0.49056603773584906,True,False,False,False,"['spread $0.130 > $0.05', 'spread_pct 49.1% > 7%', 'low liquidity (OI=845, Vol=7)']",0.03,0.04,0.035,289,4374,14,2026-07-17,14.23,0.03,,,,3.5000000000000004,0.010000000000000002,0.28571428571428575,False,False,True,False,"['premium too low ($3.50)', 'spread_pct 28.6% > 7%']"
ET,RED,0.22,0.25,0.235,18297,39380,20,2026-07-17,20.2,0.23,,,,23.5,0.03,0.1276595744680851,True,False,True,False,['spread_pct 12.8% > 7%'],0.03,0.06,0.045,357,1907,20,2026-07-17,20.2,0.03,,,,4.5,0.03,0.6666666666666666,False,False,True,False,"['premium too low ($4.50)', 'spread_pct 66.7% > 7%']"
VZ,RED,0.21,0.28,0.245,2040,4043,44,2026-07-17,43.87,0.24,,,,24.5,0.07000000000000003,0.28571428571428586,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 28.6% > 7%']",0.35,0.59,0.47,3551,17668,44,2026-07-17,43.87,0.38,,,,47.0,0.24,0.5106382978723404,True,False,True,False,"['spread $0.240 > $0.05', 'spread_pct 51.1% > 7%']"
