ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.46,0.47,0.465,8472,37433,18,2026-08-21,17.93,0.47,,,,46.5,0.009999999999999953,0.02150537634408592,True,True,True,True,[],0.5,0.52,0.51,2203,13514,18,2026-08-21,17.93,0.5,,,,51.0,0.020000000000000018,0.03921568627450984,True,True,True,True,[]
IBIT,GREEN,0.61,0.64,0.625,6294,35813,36,2026-08-21,35.91,0.61,,,,62.5,0.030000000000000027,0.04800000000000004,True,True,True,True,[],0.67,0.69,0.68,3405,21574,36,2026-08-21,35.91,0.69,,,,68.0,0.019999999999999907,0.029411764705882214,True,True,True,True,[]
MARA,YELLOW,0.55,0.58,0.565,1901,1628,9.5,2026-08-21,9.64,0.56,,,,56.49999999999999,0.029999999999999916,0.053097345132743216,True,True,True,True,[],0.39,0.42,0.405,6153,3418,9.5,2026-08-21,9.64,0.4,,,,40.5,0.02999999999999997,0.074074074074074,True,False,True,False,['spread_pct 7.4% > 7%']
F,YELLOW,0.18,0.19,0.185,2540,9922,14,2026-08-21,13.84,0.19,,,,18.5,0.010000000000000009,0.054054054054054106,True,True,True,True,[],0.32,0.35,0.335,664,8026,14,2026-08-21,13.84,0.33,,,,33.5,0.02999999999999997,0.08955223880597006,True,False,True,False,['spread_pct 9.0% > 7%']
TQQQ,RED,2,2.13,2.065,1438,7474,75,2026-08-21,74.76,2.07,,,,206.5,0.1299999999999999,0.06295399515738494,False,False,True,False,"['premium too high ($206.50)', 'spread $0.130 > $0.05']",2.39,2.45,2.42,1490,4784,75,2026-08-21,74.76,2.47,,,,242.0,0.06000000000000005,0.024793388429752088,False,False,True,False,"['premium too high ($242.00)', 'spread $0.060 > $0.05']"
SLV,RED,1.53,1.62,1.575,2838,7771,59,2026-08-21,59.065,1.63,,,,157.5,0.09000000000000008,0.0571428571428572,False,False,True,False,"['premium too high ($157.50)', 'spread $0.090 > $0.05']",1.45,1.53,1.49,372,413,59,2026-08-21,59.065,1.46,,,,149.0,0.08000000000000007,0.05369127516778528,False,False,False,False,"['premium too high ($149.00)', 'spread $0.080 > $0.05', 'low liquidity (OI=413, Vol=372)']"
SQQQ,RED,1.04,1.12,1.08,804,719,37.5,2026-08-21,37.36,1.12,,,,108.0,0.08000000000000007,0.07407407407407414,False,False,True,False,"['premium too high ($108.00)', 'spread $0.080 > $0.05', 'spread_pct 7.4% > 7%']",1.21,1.28,1.245,107,377,37.5,2026-08-21,37.36,1.27,,,,124.50000000000001,0.07000000000000006,0.05622489959839362,False,False,False,False,"['premium too high ($124.50)', 'spread $0.070 > $0.05', 'low liquidity (OI=377, Vol=107)']"
BAC,RED,0.61,0.67,0.64,2410,25470,65,2026-08-21,64.81,0.65,,,,64.0,0.06000000000000005,0.09375000000000008,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 9.4% > 7%']",0.74,0.79,0.765,2552,422,65,2026-08-21,64.81,0.78,,,,76.5,0.050000000000000044,0.06535947712418307,False,False,True,False,"['premium too high ($76.50)', 'spread $0.050 > $0.05']"
OXY,RED,0.94,1.02,0.98,102,1387,59,2026-08-21,58.55,0.99,,,,98.0,0.08000000000000007,0.08163265306122457,False,False,True,False,"['premium too high ($98.00)', 'spread $0.080 > $0.05', 'spread_pct 8.2% > 7%']",1.3,1.43,1.365,33,258,59,2026-08-21,58.55,1.47,,,,136.5,0.1299999999999999,0.09523809523809516,False,False,False,False,"['premium too high ($136.50)', 'spread $0.130 > $0.05', 'spread_pct 9.5% > 7%', 'low liquidity (OI=258, Vol=33)']"
AAL,RED,0.37,0.41,0.39,993,21532,15,2026-08-21,14.94,0.41,,,,39.0,0.03999999999999998,0.1025641025641025,True,False,True,False,['spread_pct 10.3% > 7%'],0.4,0.44,0.42,686,12242,15,2026-08-21,14.94,0.43,,,,42.0,0.03999999999999998,0.09523809523809519,True,False,True,False,['spread_pct 9.5% > 7%']
