ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.72,0.75,0.735,1182,14156,17,2026-09-18,17.06,0.75,,,,73.5,0.030000000000000027,0.04081632653061228,True,True,True,True,[],0.63,0.66,0.645,3643,21571,17,2026-09-18,17.06,0.64,,,,64.5,0.030000000000000027,0.046511627906976785,True,True,True,True,[]
MARA,YELLOW,0.82,0.91,0.865,165,12240,10,2026-09-18,10.24,0.87,,,,86.5,0.09000000000000008,0.10404624277456656,False,False,True,False,"['premium too high ($86.50)', 'spread $0.090 > $0.05', 'spread_pct 10.4% > 7%']",0.58,0.61,0.595,2143,36769,10,2026-09-18,10.24,0.59,,,,59.5,0.030000000000000027,0.05042016806722694,True,True,True,True,[]
F,YELLOW,0.3,0.32,0.31,1172,25442,14,2026-09-18,13.825,0.31,,,,31.0,0.020000000000000018,0.06451612903225812,True,True,True,True,[],0.4,0.48,0.44,374,28616,14,2026-09-18,13.825,0.46,,,,44.0,0.07999999999999996,0.18181818181818174,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 18.2% > 7%']"
SLV,RED,2.01,2.09,2.05,537,3495,58,2026-09-18,57.91,2.06,,,,204.99999999999997,0.08000000000000007,0.039024390243902474,False,False,True,False,"['premium too high ($205.00)', 'spread $0.080 > $0.05']",2.01,2.09,2.05,2915,13677,58,2026-09-18,57.91,2.06,,,,204.99999999999997,0.08000000000000007,0.039024390243902474,False,False,True,False,"['premium too high ($205.00)', 'spread $0.080 > $0.05']"
GDX,RED,3.45,3.75,3.6,203,9393,95,2026-09-18,94.78,3.6,,,,360.0,0.2999999999999998,0.08333333333333329,False,False,True,False,"['premium too high ($360.00)', 'spread $0.300 > $0.05', 'spread_pct 8.3% > 7%']",3.65,3.8,3.725,1205,10159,95,2026-09-18,94.78,3.8,,,,372.5,0.1499999999999999,0.0402684563758389,False,False,True,False,"['premium too high ($372.50)', 'spread $0.150 > $0.05']"
UVXY,RED,1.1,1.18,1.14,326,706,19,2026-09-18,18.81,1.14,,,,113.99999999999999,0.07999999999999985,0.0701754385964911,False,False,False,False,"['premium too high ($114.00)', 'spread $0.080 > $0.05', 'spread_pct 7.0% > 7%', 'low liquidity (OI=706, Vol=326)']",1.26,1.33,1.295,2307,439,19,2026-09-18,18.81,1.29,,,,129.5,0.07000000000000006,0.054054054054054106,False,False,True,False,"['premium too high ($129.50)', 'spread $0.070 > $0.05']"
RIOT,RED,1.08,1.17,1.125,318,4335,18,2026-09-18,17.83,1.17,,,,112.5,0.08999999999999986,0.07999999999999988,False,False,True,False,"['premium too high ($112.50)', 'spread $0.090 > $0.05', 'spread_pct 8.0% > 7%']",1.26,1.33,1.295,193,6479,18,2026-09-18,17.83,1.18,,,,129.5,0.07000000000000006,0.054054054054054106,False,False,True,False,"['premium too high ($129.50)', 'spread $0.070 > $0.05']"
RIVN,RED,0.72,0.77,0.745,50,153,15.5,2026-09-18,15.54,0.73,,,,74.5,0.050000000000000044,0.0671140939597316,True,False,False,False,"['spread $0.050 > $0.05', 'low liquidity (OI=153, Vol=50)']",0.66,0.71,0.685,396,1048,15.5,2026-09-18,15.54,0.68,,,,68.5,0.04999999999999993,0.0729927007299269,True,False,True,False,['spread_pct 7.3% > 7%']
VALE,RED,0.47,0.52,0.495,70,39147,15,2026-09-18,15.13,0.5,,,,49.5,0.050000000000000044,0.1010101010101011,True,False,True,False,"['spread $0.050 > $0.05', 'spread_pct 10.1% > 7%']",0.32,0.35,0.335,10,21751,15,2026-09-18,15.13,0.28,,,,33.5,0.02999999999999997,0.08955223880597006,True,False,True,False,['spread_pct 9.0% > 7%']
BAC,RED,1.03,1.07,1.05,240,3896,62,2026-09-18,62.02,1.03,,,,105.0,0.040000000000000036,0.038095238095238126,False,True,True,False,['premium too high ($105.00)'],1.09,1.29,1.19,241,2632,62,2026-09-18,62.02,1.26,,,,119.0,0.19999999999999996,0.16806722689075626,False,False,True,False,"['premium too high ($119.00)', 'spread $0.200 > $0.05', 'spread_pct 16.8% > 7%']"
OXY,RED,1.53,1.73,1.63,720,96,61,2026-09-18,60.95,1.8,,,,163.0,0.19999999999999996,0.12269938650306747,False,False,True,False,"['premium too high ($163.00)', 'spread $0.200 > $0.05', 'spread_pct 12.3% > 7%']",1.85,2.02,1.935,122,9,61,2026-09-18,60.95,1.92,,,,193.5,0.16999999999999993,0.0878552971576227,False,False,False,False,"['premium too high ($193.50)', 'spread $0.170 > $0.05', 'spread_pct 8.8% > 7%', 'low liquidity (OI=9, Vol=122)']"
SQQQ,RED,1.73,1.99,1.86,5352,19886,40,2026-09-18,39.98,1.94,,,,186.0,0.26,0.13978494623655913,False,False,True,False,"['premium too high ($186.00)', 'spread $0.260 > $0.05', 'spread_pct 14.0% > 7%']",1.8,2.01,1.905,29,3219,40,2026-09-18,39.98,1.79,,,,190.5,0.20999999999999974,0.1102362204724408,False,False,True,False,"['premium too high ($190.50)', 'spread $0.210 > $0.05', 'spread_pct 11.0% > 7%']"
M,RED,0.95,1.11,1.03,224,528,22,2026-09-18,21.92,1.01,,,,103.0,0.16000000000000014,0.15533980582524284,False,False,False,False,"['premium too high ($103.00)', 'spread $0.160 > $0.05', 'spread_pct 15.5% > 7%', 'low liquidity (OI=528, Vol=224)']",1.1,1.21,1.155,161,11957,22,2026-09-18,21.92,1.15,,,,115.5,0.10999999999999988,0.09523809523809512,False,False,True,False,"['premium too high ($115.50)', 'spread $0.110 > $0.05', 'spread_pct 9.5% > 7%']"
HL,RED,1.02,1.17,1.095,37,7243,19,2026-09-18,19.1,1.11,,,,109.5,0.1499999999999999,0.13698630136986292,False,False,True,False,"['premium too high ($109.50)', 'spread $0.150 > $0.05', 'spread_pct 13.7% > 7%']",0.83,0.95,0.89,87,2154,19,2026-09-18,19.1,0.88,,,,89.0,0.12,0.1348314606741573,False,False,True,False,"['premium too high ($89.00)', 'spread $0.120 > $0.05', 'spread_pct 13.5% > 7%']"
AAL,RED,0.47,0.58,0.525,1877,9079,13,2026-09-18,12.955,0.53,,,,52.5,0.10999999999999999,0.2095238095238095,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 21.0% > 7%']",0.49,0.53,0.51,1700,10121,13,2026-09-18,12.955,0.51,,,,51.0,0.040000000000000036,0.07843137254901968,True,False,True,False,['spread_pct 7.8% > 7%']
AA,RED,1.96,2.37,2.165,11,71,51,2026-09-18,50.895,2.21,,,,216.5,0.41000000000000014,0.1893764434180139,False,False,False,False,"['premium too high ($216.50)', 'spread $0.410 > $0.05', 'spread_pct 18.9% > 7%', 'low liquidity (OI=71, Vol=11)']",1.99,2.24,2.115,16,11,51,2026-09-18,50.895,1.94,,,,211.50000000000003,0.2500000000000002,0.11820330969267148,False,False,False,False,"['premium too high ($211.50)', 'spread $0.250 > $0.05', 'spread_pct 11.8% > 7%', 'low liquidity (OI=11, Vol=16)']"
TQQQ,RED,2.86,3.85,3.355,244,826,69,2026-09-18,69.15,3.25,,,,335.5,0.9900000000000002,0.2950819672131148,False,False,False,False,"['premium too high ($335.50)', 'spread $0.990 > $0.05', 'spread_pct 29.5% > 7%', 'low liquidity (OI=826, Vol=244)']",3,3.2,3.1,800,991,69,2026-09-18,69.15,3.2,,,,310.0,0.20000000000000018,0.06451612903225812,False,False,True,False,"['premium too high ($310.00)', 'spread $0.200 > $0.05']"
PFE,RED,0.49,0.65,0.57,442,3552,28.5,2026-09-18,28.565,0.61,,,,56.99999999999999,0.16000000000000003,0.280701754385965,True,False,True,False,"['spread $0.160 > $0.05', 'spread_pct 28.1% > 7%']",0.47,0.51,0.49,394,1035,28.5,2026-09-18,28.565,0.5,,,,49.0,0.040000000000000036,0.08163265306122457,True,False,True,False,['spread_pct 8.2% > 7%']
NCLH,RED,0.49,0.57,0.53,127,2,15.5,2026-09-18,15.435,0.48,,,,53.0,0.07999999999999996,0.150943396226415,True,False,False,False,"['spread $0.080 > $0.05', 'spread_pct 15.1% > 7%', 'low liquidity (OI=2, Vol=127)']",0.51,0.64,0.575,59,368,15.5,2026-09-18,15.435,0.59,,,,57.49999999999999,0.13,0.22608695652173916,True,False,False,False,"['spread $0.130 > $0.05', 'spread_pct 22.6% > 7%', 'low liquidity (OI=368, Vol=59)']"
LYFT,RED,0.46,0.68,0.57,244,2632,17,2026-09-18,16.78,0.48,,,,56.99999999999999,0.22000000000000003,0.38596491228070184,True,False,True,False,"['spread $0.220 > $0.05', 'spread_pct 38.6% > 7%']",0.66,0.75,0.705,57,4159,17,2026-09-18,16.78,0.66,,,,70.5,0.08999999999999997,0.12765957446808507,True,False,True,False,"['spread $0.090 > $0.05', 'spread_pct 12.8% > 7%']"
