ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.33,0.34,0.335,9969,4676,17.5,2026-09-18,17.32,0.33,,,,33.5,0.010000000000000009,0.02985074626865674,True,True,True,True,[],0.49,0.51,0.5,3328,10461,17.5,2026-09-18,17.32,0.49,,,,50.0,0.020000000000000018,0.040000000000000036,True,True,True,True,[]
RIVN,GREEN,0.48,0.51,0.495,5367,24076,16,2026-09-18,16.035,0.49,,,,49.5,0.030000000000000027,0.06060606060606066,True,True,True,True,[],0.43,0.46,0.445,2757,18669,16,2026-09-18,16.035,0.44,,,,44.5,0.030000000000000027,0.0674157303370787,True,True,True,True,[]
MARA,YELLOW,0.5,0.53,0.515,45250,29273,12,2026-09-18,11.97,0.51,,,,51.5,0.030000000000000027,0.05825242718446607,True,True,True,True,[],0.52,0.6,0.56,5139,28600,12,2026-09-18,11.97,0.53,,,,56.00000000000001,0.07999999999999996,0.14285714285714277,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 14.3% > 7%']"
UVXY,YELLOW,0.62,0.65,0.635,2423,1420,18,2026-09-18,18.01,0.65,,,,63.5,0.030000000000000027,0.04724409448818902,True,True,True,True,[],0.5,0.68,0.59,1470,1434,18,2026-09-18,18.01,0.64,,,,59.0,0.18000000000000005,0.30508474576271194,True,False,True,False,"['spread $0.180 > $0.05', 'spread_pct 30.5% > 7%']"
SLV,RED,1.25,1.28,1.265,1204,3519,58,2026-09-18,58.12,1.29,,,,126.49999999999999,0.030000000000000027,0.02371541501976287,False,True,True,False,['premium too high ($126.50)'],1.08,1.14,1.11,3750,11749,58,2026-09-18,58.12,1.11,,,,111.00000000000001,0.05999999999999983,0.0540540540540539,False,False,True,False,"['premium too high ($111.00)', 'spread $0.060 > $0.05']"
TQQQ,RED,1.9,2,1.95,1767,3115,71,2026-09-18,70.93,1.94,,,,195.0,0.10000000000000009,0.05128205128205133,False,False,True,False,"['premium too high ($195.00)', 'spread $0.100 > $0.05']",1.85,1.94,1.895,1675,2042,71,2026-09-18,70.93,1.9,,,,189.5,0.08999999999999986,0.047493403693931326,False,False,True,False,"['premium too high ($189.50)', 'spread $0.090 > $0.05']"
IBIT,RED,0.75,0.81,0.78,12348,33616,44,2026-09-18,43.84,0.81,,,,78.0,0.06000000000000005,0.07692307692307698,False,False,True,False,"['premium too high ($78.00)', 'spread $0.060 > $0.05', 'spread_pct 7.7% > 7%']",0.9,0.94,0.92,16233,18659,44,2026-09-18,43.84,0.93,,,,92.0,0.039999999999999925,0.04347826086956513,False,True,True,False,['premium too high ($92.00)']
F,RED,0.23,0.25,0.24,6936,26463,14,2026-09-18,13.98,0.23,,,,24.0,0.01999999999999999,0.0833333333333333,True,False,True,False,['spread_pct 8.3% > 7%'],0.25,0.27,0.26,2698,27863,14,2026-09-18,13.98,0.26,,,,26.0,0.020000000000000018,0.07692307692307698,True,False,True,False,['spread_pct 7.7% > 7%']
BAC,RED,0.88,0.93,0.905,4063,11930,62.5,2026-09-18,62.685,0.92,,,,90.5,0.050000000000000044,0.05524861878453043,False,False,True,False,"['premium too high ($90.50)', 'spread $0.050 > $0.05']",0.65,0.73,0.69,1088,12413,62.5,2026-09-18,62.685,0.67,,,,69.0,0.07999999999999996,0.11594202898550719,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 11.6% > 7%']"
SQQQ,RED,1.01,1.05,1.03,5954,2698,39,2026-09-18,38.9,1.01,,,,103.0,0.040000000000000036,0.03883495145631071,False,True,True,False,['premium too high ($103.00)'],1.05,1.2,1.125,360,1253,39,2026-09-18,38.9,1.16,,,,112.5,0.1499999999999999,0.13333333333333325,False,False,True,False,"['premium too high ($112.50)', 'spread $0.150 > $0.05', 'spread_pct 13.3% > 7%']"
GDX,RED,2.24,2.46,2.35,2726,2014,97,2026-09-18,97.08,2.15,,,,235.0,0.21999999999999975,0.09361702127659563,False,False,True,False,"['premium too high ($235.00)', 'spread $0.220 > $0.05', 'spread_pct 9.4% > 7%']",2.2,2.44,2.32,676,2625,97,2026-09-18,97.08,2.35,,,,231.99999999999997,0.23999999999999977,0.10344827586206887,False,False,True,False,"['premium too high ($232.00)', 'spread $0.240 > $0.05', 'spread_pct 10.3% > 7%']"
AAL,RED,0.33,0.36,0.345,2191,10801,13,2026-09-18,13,0.35,,,,34.5,0.02999999999999997,0.08695652173913036,True,False,True,False,['spread_pct 8.7% > 7%'],0.31,0.35,0.33,2162,13614,13,2026-09-18,13,0.33,,,,33.0,0.03999999999999998,0.12121212121212115,True,False,True,False,['spread_pct 12.1% > 7%']
EEM,RED,0.75,0.83,0.79,207,44354,68,2026-09-18,67.83,0.79,,,,79.0,0.07999999999999996,0.10126582278481007,False,False,True,False,"['premium too high ($79.00)', 'spread $0.080 > $0.05', 'spread_pct 10.1% > 7%']",0.84,0.96,0.9,1670,32663,68,2026-09-18,67.83,0.84,,,,90.0,0.12,0.13333333333333333,False,False,True,False,"['premium too high ($90.00)', 'spread $0.120 > $0.05', 'spread_pct 13.3% > 7%']"
DAL,RED,1.47,1.66,1.565,497,7958,80,2026-09-18,79.91,1.5,,,,156.5,0.18999999999999995,0.12140575079872201,False,False,True,False,"['premium too high ($156.50)', 'spread $0.190 > $0.05', 'spread_pct 12.1% > 7%']",1.59,1.85,1.72,241,3688,80,2026-09-18,79.91,1.7,,,,172.0,0.26,0.15116279069767444,False,False,True,False,"['premium too high ($172.00)', 'spread $0.260 > $0.05', 'spread_pct 15.1% > 7%']"
NCLH,RED,0.26,0.3,0.28,1897,1696,15,2026-09-18,14.82,0.28,,,,28.000000000000004,0.03999999999999998,0.14285714285714277,True,False,True,False,['spread_pct 14.3% > 7%'],0.38,0.44,0.41,799,14291,15,2026-09-18,14.82,0.44,,,,41.0,0.06,0.14634146341463414,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 14.6% > 7%']"
VZ,RED,0.35,0.4,0.375,711,5678,51,2026-09-18,50.59,0.37,,,,37.5,0.050000000000000044,0.13333333333333344,True,False,True,False,"['spread $0.050 > $0.05', 'spread_pct 13.3% > 7%']",0.72,0.85,0.785,350,1131,51,2026-09-18,50.59,0.77,,,,78.5,0.13,0.16560509554140126,False,False,True,False,"['premium too high ($78.50)', 'spread $0.130 > $0.05', 'spread_pct 16.6% > 7%']"
HL,RED,0.51,0.62,0.565,1799,11611,20,2026-09-18,19.78,0.62,,,,56.49999999999999,0.10999999999999999,0.19469026548672566,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 19.5% > 7%']",0.73,0.82,0.775,484,3912,20,2026-09-18,19.78,0.81,,,,77.5,0.08999999999999997,0.11612903225806448,False,False,True,False,"['premium too high ($77.50)', 'spread $0.090 > $0.05', 'spread_pct 11.6% > 7%']"
VXX,RED,0.43,0.5,0.465,1129,1427,18,2026-09-18,18.08,0.47,,,,46.5,0.07,0.15053763440860216,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 15.1% > 7%']",0.36,0.43,0.395,475,3286,18,2026-09-18,18.08,0.4,,,,39.5,0.07,0.17721518987341772,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 17.7% > 7%']"
CLF,RED,0.36,0.41,0.385,866,20580,12,2026-09-18,12.055,0.4,,,,38.5,0.04999999999999999,0.12987012987012983,True,False,True,False,['spread_pct 13.0% > 7%'],0.31,0.38,0.345,359,8506,12,2026-09-18,12.055,0.34,,,,34.5,0.07,0.20289855072463772,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 20.3% > 7%']"
VALE,RED,0.38,0.43,0.405,185,38494,15,2026-09-18,15.225,0.39,,,,40.5,0.04999999999999999,0.12345679012345676,True,False,True,False,['spread_pct 12.3% > 7%'],0.16,0.2,0.18,3482,20470,15,2026-09-18,15.225,0.17,,,,18.0,0.04000000000000001,0.22222222222222227,True,False,True,False,['spread_pct 22.2% > 7%']
OXY,RED,1.1,1.36,1.23,479,1627,61,2026-09-18,61.455,1.3,,,,123.0,0.26,0.21138211382113822,False,False,True,False,"['premium too high ($123.00)', 'spread $0.260 > $0.05', 'spread_pct 21.1% > 7%']",0.74,0.89,0.815,603,580,61,2026-09-18,61.455,0.84,,,,81.5,0.15000000000000002,0.18404907975460127,False,False,True,False,"['premium too high ($81.50)', 'spread $0.150 > $0.05', 'spread_pct 18.4% > 7%']"
