ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,YELLOW,0.69,0.71,0.7,1954,2201,16.5,2026-08-21,16.27,0.69,,,,70.0,0.020000000000000018,0.0285714285714286,True,True,True,True,[],0.84,0.86,0.85,924,5301,16.5,2026-08-21,16.27,0.86,,,,85.0,0.020000000000000018,0.023529411764705903,False,True,True,False,['premium too high ($85.00)']
F,YELLOW,0.51,0.55,0.53,910,2573,14.5,2026-08-21,14.67,0.54,,,,53.0,0.040000000000000036,0.07547169811320761,True,False,True,False,['spread_pct 7.5% > 7%'],0.43,0.45,0.44,729,1624,14.5,2026-08-21,14.67,0.43,,,,44.0,0.020000000000000018,0.0454545454545455,True,True,True,True,[]
CLF,YELLOW,0.66,0.73,0.695,225,7137,11.5,2026-08-21,11.52,0.66,,,,69.5,0.06999999999999995,0.1007194244604316,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 10.1% > 7%']",0.63,0.67,0.65,30,766,11.5,2026-08-21,11.52,0.7,,,,65.0,0.040000000000000036,0.06153846153846159,True,True,False,True,"['low liquidity (OI=766, Vol=30)']"
PFE,YELLOW,0.63,0.71,0.67,2605,20680,25,2026-08-21,25.03,0.67,,,,67.0,0.07999999999999996,0.1194029850746268,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 11.9% > 7%']",0.54,0.57,0.555,1404,20348,25,2026-08-21,25.03,0.54,,,,55.50000000000001,0.029999999999999916,0.0540540540540539,True,True,True,True,[]
SLV,RED,1.85,1.98,1.915,379,2012,52.5,2026-08-21,52.375,2,,,,191.5,0.1299999999999999,0.06788511749347252,False,False,True,False,"['premium too high ($191.50)', 'spread $0.130 > $0.05']",2.02,2.16,2.09,16,1453,52.5,2026-08-21,52.375,2.04,,,,209.0,0.14000000000000012,0.06698564593301441,False,False,True,False,"['premium too high ($209.00)', 'spread $0.140 > $0.05']"
BAC,RED,1.24,1.34,1.29,223,7655,62,2026-08-21,61.97,1.33,,,,129.0,0.10000000000000009,0.07751937984496131,False,False,True,False,"['premium too high ($129.00)', 'spread $0.100 > $0.05', 'spread_pct 7.8% > 7%']",1.12,1.2,1.16,225,1046,62,2026-08-21,61.97,1.1,,,,115.99999999999999,0.07999999999999985,0.06896551724137918,False,False,True,False,"['premium too high ($116.00)', 'spread $0.080 > $0.05']"
OXY,RED,2.22,2.41,2.315,93,305,57,2026-08-21,57.07,2.25,,,,231.5,0.18999999999999995,0.08207343412526996,False,False,False,False,"['premium too high ($231.50)', 'spread $0.190 > $0.05', 'spread_pct 8.2% > 7%', 'low liquidity (OI=305, Vol=93)']",2.02,2.17,2.095,41,139,57,2026-08-21,57.07,2.19,,,,209.50000000000003,0.1499999999999999,0.071599045346062,False,False,False,False,"['premium too high ($209.50)', 'spread $0.150 > $0.05', 'spread_pct 7.2% > 7%', 'low liquidity (OI=139, Vol=41)']"
CCL,RED,1.02,1.11,1.065,668,3642,28,2026-08-21,27.79,1.13,,,,106.5,0.09000000000000008,0.08450704225352121,False,False,True,False,"['premium too high ($106.50)', 'spread $0.090 > $0.05', 'spread_pct 8.5% > 7%']",1.29,1.39,1.34,84,2187,28,2026-08-21,27.79,1.36,,,,134.0,0.09999999999999987,0.07462686567164169,False,False,True,False,"['premium too high ($134.00)', 'spread $0.100 > $0.05', 'spread_pct 7.5% > 7%']"
T,RED,0.5,0.55,0.525,155,1822,23.5,2026-08-21,23.265,0.52,,,,52.5,0.050000000000000044,0.09523809523809532,True,False,True,False,"['spread $0.050 > $0.05', 'spread_pct 9.5% > 7%']",0.68,0.73,0.705,110,2005,23.5,2026-08-21,23.265,0.72,,,,70.5,0.04999999999999993,0.07092198581560274,True,False,True,False,['spread_pct 7.1% > 7%']
HL,RED,1.01,1.16,1.085,416,245,14,2026-08-21,14.115,1.11,,,,108.5,0.1499999999999999,0.1382488479262672,False,False,False,False,"['premium too high ($108.50)', 'spread $0.150 > $0.05', 'spread_pct 13.8% > 7%', 'low liquidity (OI=245, Vol=416)']",0.88,0.91,0.895,63,737,14,2026-08-21,14.115,0.88,,,,89.5,0.030000000000000027,0.033519553072625725,False,True,False,False,"['premium too high ($89.50)', 'low liquidity (OI=737, Vol=63)']"
