ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
IBIT,GREEN,0.74,0.76,0.75,7538,33271,36,2026-08-21,35.99,0.73,,,,75.0,0.020000000000000018,0.02666666666666669,True,True,True,True,[],0.67,0.69,0.68,1399,21581,36,2026-08-21,35.99,0.68,,,,68.0,0.019999999999999907,0.029411764705882214,True,True,True,True,[]
SOFI,GREEN,0.54,0.57,0.555,2313,37270,18,2026-08-21,17.99,0.56,,,,55.50000000000001,0.029999999999999916,0.0540540540540539,True,True,True,True,[],0.53,0.55,0.54,5238,11447,18,2026-08-21,17.99,0.55,,,,54.0,0.020000000000000018,0.03703703703703707,True,True,True,True,[]
GDX,RED,2.8,3,2.9,589,20303,90,2026-08-21,90.11,2.92,,,,290.0,0.20000000000000018,0.06896551724137938,False,False,True,False,"['premium too high ($290.00)', 'spread $0.200 > $0.05']",2.6,2.7,2.65,91,5547,90,2026-08-21,90.11,2.75,,,,265.0,0.10000000000000009,0.03773584905660381,False,False,True,False,"['premium too high ($265.00)', 'spread $0.100 > $0.05']"
BAC,RED,0.8,0.85,0.825,3096,2771,64,2026-08-21,63.995,0.82,,,,82.5,0.04999999999999993,0.06060606060606053,False,True,True,False,['premium too high ($82.50)'],0.75,0.81,0.78,1153,1208,64,2026-08-21,63.995,0.81,,,,78.0,0.06000000000000005,0.07692307692307698,False,False,True,False,"['premium too high ($78.00)', 'spread $0.060 > $0.05', 'spread_pct 7.7% > 7%']"
SLV,RED,1.63,1.74,1.685,631,214,58.5,2026-08-21,58.56,1.76,,,,168.5,0.1100000000000001,0.06528189910979235,False,False,True,False,"['premium too high ($168.50)', 'spread $0.110 > $0.05']",1.6,1.73,1.665,54,16,58.5,2026-08-21,58.56,1.65,,,,166.5,0.1299999999999999,0.07807807807807801,False,False,False,False,"['premium too high ($166.50)', 'spread $0.130 > $0.05', 'spread_pct 7.8% > 7%', 'low liquidity (OI=16, Vol=54)']"
TQQQ,RED,2.49,2.65,2.57,451,2044,73,2026-08-21,73,2.57,,,,257.0,0.1599999999999997,0.062256809338521284,False,False,True,False,"['premium too high ($257.00)', 'spread $0.160 > $0.05']",2.46,2.72,2.59,268,1027,73,2026-08-21,73,2.6,,,,259.0,0.26000000000000023,0.10038610038610048,False,False,True,False,"['premium too high ($259.00)', 'spread $0.260 > $0.05', 'spread_pct 10.0% > 7%']"
F,RED,0.26,0.28,0.27,2515,9883,14,2026-08-21,13.98,0.27,,,,27.0,0.020000000000000018,0.07407407407407414,True,False,True,False,['spread_pct 7.4% > 7%'],0.27,0.3,0.285,991,7741,14,2026-08-21,13.98,0.29,,,,28.499999999999996,0.02999999999999997,0.10526315789473675,True,False,True,False,['spread_pct 10.5% > 7%']
RIOT,RED,1.35,1.44,1.395,16151,2340,20,2026-08-21,20.22,1.4,,,,139.5,0.08999999999999986,0.06451612903225797,False,False,True,False,"['premium too high ($139.50)', 'spread $0.090 > $0.05']",1.01,1.14,1.075,915,2916,20,2026-08-21,20.22,1.05,,,,107.5,0.1299999999999999,0.12093023255813944,False,False,True,False,"['premium too high ($107.50)', 'spread $0.130 > $0.05', 'spread_pct 12.1% > 7%']"
T,RED,0.39,0.44,0.415,576,6233,24.5,2026-08-21,24.495,0.41,,,,41.5,0.04999999999999999,0.12048192771084336,True,False,True,False,['spread_pct 12.0% > 7%'],0.38,0.44,0.41,138,707,24.5,2026-08-21,24.495,0.42,,,,41.0,0.06,0.14634146341463414,True,False,False,False,"['spread $0.060 > $0.05', 'spread_pct 14.6% > 7%', 'low liquidity (OI=707, Vol=138)']"
OXY,RED,1.25,1.36,1.305,77,1380,59,2026-08-21,59.05,1.29,,,,130.5,0.1100000000000001,0.08429118773946367,False,False,True,False,"['premium too high ($130.50)', 'spread $0.110 > $0.05', 'spread_pct 8.4% > 7%']",1.18,1.42,1.3,209,123,59,2026-08-21,59.05,1.23,,,,130.0,0.24,0.1846153846153846,False,False,False,False,"['premium too high ($130.00)', 'spread $0.240 > $0.05', 'spread_pct 18.5% > 7%', 'low liquidity (OI=123, Vol=209)']"
