ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
IBIT,YELLOW,0.61,0.64,0.625,1673,2661,45.5,2026-08-31,45.28,0.63,,,,62.5,0.030000000000000027,0.04800000000000004,True,True,True,True,[],0.81,0.84,0.825,1507,724,45.5,2026-08-31,45.28,0.81,,,,82.5,0.029999999999999916,0.036363636363636265,False,True,True,False,['premium too high ($82.50)']
VALE,YELLOW,0.4,0.42,0.41,176,1742,15.5,2026-09-18,15.31,0.42,,,,41.0,0.019999999999999962,0.04878048780487796,True,True,True,True,[],0.52,0.57,0.545,0,33,15.5,2026-09-18,15.31,0.67,,,,54.50000000000001,0.04999999999999993,0.09174311926605491,True,False,False,False,"['spread_pct 9.2% > 7%', 'low liquidity (OI=33, Vol=0)']"
F,YELLOW,0.43,0.44,0.435,994,24628,14,2026-09-18,13.97,0.45,,,,43.5,0.010000000000000009,0.022988505747126457,True,True,True,True,[],0.38,0.45,0.415,1541,28345,14,2026-09-18,13.97,0.42,,,,41.5,0.07,0.16867469879518074,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 16.9% > 7%']"
CLF,YELLOW,0.57,0.61,0.59,154,20355,12,2026-09-18,11.84,0.59,,,,59.0,0.040000000000000036,0.0677966101694916,True,True,True,True,[],0.59,0.82,0.705,87,3461,12,2026-09-18,11.84,0.79,,,,70.5,0.22999999999999998,0.326241134751773,True,False,True,False,"['spread $0.230 > $0.05', 'spread_pct 32.6% > 7%']"
WBD,YELLOW,0.52,0.55,0.535,2369,67209,29,2026-09-18,28.86,0.52,,,,53.5,0.030000000000000027,0.056074766355140235,True,True,True,True,[],0,1,0.5,1500,354,29,2026-09-18,28.86,0.62,,,,,,,False,False,,False,['no quote (bid/ask zero or missing)']
SLV,RED,2.56,2.64,2.6,2831,65758,63,2026-09-18,62.765,2.6,,,,260.0,0.08000000000000007,0.030769230769230795,False,False,True,False,"['premium too high ($260.00)', 'spread $0.080 > $0.05']",2.74,2.83,2.785,235,4339,63,2026-09-18,62.765,2.82,,,,278.5,0.08999999999999986,0.03231597845601431,False,False,True,False,"['premium too high ($278.50)', 'spread $0.090 > $0.05']"
MARA,RED,0.93,0.97,0.95,1660,27638,12,2026-09-18,11.85,0.96,,,,95.0,0.039999999999999925,0.04210526315789466,False,True,True,False,['premium too high ($95.00)'],1.02,1.07,1.045,543,7928,12,2026-09-18,11.85,1.06,,,,104.5,0.050000000000000044,0.04784688995215316,False,False,True,False,"['premium too high ($104.50)', 'spread $0.050 > $0.05']"
BAC,RED,1.18,1.25,1.215,332,28,61,2026-09-18,61.165,1.2,,,,121.50000000000001,0.07000000000000006,0.057613168724279885,False,False,False,False,"['premium too high ($121.50)', 'spread $0.070 > $0.05', 'low liquidity (OI=28, Vol=332)']",1.2,1.26,1.23,195,103,61,2026-09-18,61.165,1.17,,,,123.0,0.06000000000000005,0.04878048780487809,False,False,False,False,"['premium too high ($123.00)', 'spread $0.060 > $0.05', 'low liquidity (OI=103, Vol=195)']"
GDX,RED,4.5,4.75,4.625,137,1879,104,2026-09-18,103.6,4.67,,,,462.5,0.25,0.05405405405405406,False,False,True,False,"['premium too high ($462.50)', 'spread $0.250 > $0.05']",4.5,4.75,4.625,4575,830,104,2026-09-18,103.6,4.65,,,,462.5,0.25,0.05405405405405406,False,False,True,False,"['premium too high ($462.50)', 'spread $0.250 > $0.05']"
TQQQ,RED,3.7,3.95,3.825,655,2332,73,2026-09-18,73.23,3.83,,,,382.5,0.25,0.06535947712418301,False,False,True,False,"['premium too high ($382.50)', 'spread $0.250 > $0.05']",3.35,3.55,3.45,48,1714,73,2026-09-18,73.23,3.45,,,,345.0,0.19999999999999973,0.05797101449275354,False,False,True,False,"['premium too high ($345.00)', 'spread $0.200 > $0.05']"
AAL,RED,0.7,0.76,0.73,36,845,13.5,2026-09-18,13.725,0.75,,,,73.0,0.06000000000000005,0.08219178082191789,True,False,False,False,"['spread $0.060 > $0.05', 'spread_pct 8.2% > 7%', 'low liquidity (OI=845, Vol=36)']",0.46,0.5,0.48,241,587,13.5,2026-09-18,13.725,0.49,,,,48.0,0.03999999999999998,0.0833333333333333,True,False,False,False,"['spread_pct 8.3% > 7%', 'low liquidity (OI=587, Vol=241)']"
AA,RED,2.51,2.8,2.655,60,16,51,2026-09-18,51.21,2.69,,,,265.5,0.29000000000000004,0.10922787193973636,False,False,False,False,"['premium too high ($265.50)', 'spread $0.290 > $0.05', 'spread_pct 10.9% > 7%', 'low liquidity (OI=16, Vol=60)']",2.1,2.29,2.195,6,3,51,2026-09-18,51.21,2.23,,,,219.49999999999997,0.18999999999999995,0.08656036446469247,False,False,False,False,"['premium too high ($219.50)', 'spread $0.190 > $0.05', 'spread_pct 8.7% > 7%', 'low liquidity (OI=3, Vol=6)']"
KHC,RED,0.53,0.6,0.565,151,9923,25,2026-09-18,25.12,0.58,,,,56.49999999999999,0.06999999999999995,0.12389380530973444,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 12.4% > 7%']",0.72,0.8,0.76,381,6479,25,2026-09-18,25.12,0.74,,,,76.0,0.08000000000000007,0.10526315789473693,False,False,True,False,"['premium too high ($76.00)', 'spread $0.080 > $0.05', 'spread_pct 10.5% > 7%']"
SQQQ,RED,1.85,1.9,1.875,869,8366,38,2026-09-18,37.91,1.86,,,,187.5,0.04999999999999982,0.02666666666666657,False,True,True,False,['premium too high ($187.50)'],1.77,2.22,1.995,12,1225,38,2026-09-18,37.91,1.95,,,,199.5,0.4500000000000002,0.22556390977443616,False,False,True,False,"['premium too high ($199.50)', 'spread $0.450 > $0.05', 'spread_pct 22.6% > 7%']"
RIOT,RED,1.57,1.72,1.645,162,7725,21,2026-09-18,20.91,1.68,,,,164.5,0.1499999999999999,0.09118541033434645,False,False,True,False,"['premium too high ($164.50)', 'spread $0.150 > $0.05', 'spread_pct 9.1% > 7%']",1.66,1.97,1.815,67,1163,21,2026-09-18,20.91,1.84,,,,181.5,0.31000000000000005,0.17079889807162538,False,False,True,False,"['premium too high ($181.50)', 'spread $0.310 > $0.05', 'spread_pct 17.1% > 7%']"
OXY,RED,1.72,2.06,1.89,4,26,59,2026-09-18,59.18,1.96,,,,189.0,0.3400000000000001,0.17989417989417994,False,False,False,False,"['premium too high ($189.00)', 'spread $0.340 > $0.05', 'spread_pct 18.0% > 7%', 'low liquidity (OI=26, Vol=4)']",1.72,1.87,1.795,38,24,59,2026-09-18,59.18,1.63,,,,179.5,0.15000000000000013,0.08356545961002794,False,False,False,False,"['premium too high ($179.50)', 'spread $0.150 > $0.05', 'spread_pct 8.4% > 7%', 'low liquidity (OI=24, Vol=38)']"
RIVN,RED,0.78,0.89,0.835,629,27026,17,2026-09-18,16.79,0.87,,,,83.5,0.10999999999999999,0.13173652694610777,False,False,True,False,"['premium too high ($83.50)', 'spread $0.110 > $0.05', 'spread_pct 13.2% > 7%']",0.92,1.06,0.99,485,4804,17,2026-09-18,16.79,0.99,,,,99.0,0.14,0.14141414141414144,False,False,True,False,"['premium too high ($99.00)', 'spread $0.140 > $0.05', 'spread_pct 14.1% > 7%']"
VXX,RED,0.85,1.08,0.965,814,895,18,2026-09-18,18.105,0.86,,,,96.5,0.2300000000000001,0.2383419689119172,False,False,True,False,"['premium too high ($96.50)', 'spread $0.230 > $0.05', 'spread_pct 23.8% > 7%']",0.69,0.75,0.72,54,3006,18,2026-09-18,18.105,0.72,,,,72.0,0.06000000000000005,0.08333333333333341,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 8.3% > 7%']"
CCL,RED,0.91,1.18,1.045,180,3542,25,2026-09-18,24.99,0.95,,,,104.5,0.2699999999999999,0.2583732057416267,False,False,True,False,"['premium too high ($104.50)', 'spread $0.270 > $0.05', 'spread_pct 25.8% > 7%']",0.89,0.97,0.93,368,11594,25,2026-09-18,24.99,0.85,,,,93.0,0.07999999999999996,0.08602150537634404,False,False,True,False,"['premium too high ($93.00)', 'spread $0.080 > $0.05', 'spread_pct 8.6% > 7%']"
PFE,RED,0.6,0.68,0.64,214,75959,28,2026-09-18,28.005,0.63,,,,64.0,0.08000000000000007,0.1250000000000001,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 12.5% > 7%']",0.48,0.61,0.545,4225,7840,28,2026-09-18,28.005,0.57,,,,54.50000000000001,0.13,0.2385321100917431,True,False,True,False,"['spread $0.130 > $0.05', 'spread_pct 23.9% > 7%']"
DAL,RED,2.54,3.35,2.945,19,8,81,2026-09-18,81.13,3.35,,,,294.5,0.81,0.2750424448217318,False,False,False,False,"['premium too high ($294.50)', 'spread $0.810 > $0.05', 'spread_pct 27.5% > 7%', 'low liquidity (OI=8, Vol=19)']",2.43,2.7,2.565,95,56,81,2026-09-18,81.13,2.61,,,,256.5,0.27,0.10526315789473685,False,False,False,False,"['premium too high ($256.50)', 'spread $0.270 > $0.05', 'spread_pct 10.5% > 7%', 'low liquidity (OI=56, Vol=95)']"
HL,RED,1.26,1.47,1.365,59,57,21.5,2026-09-18,21.42,1.31,,,,136.5,0.20999999999999996,0.15384615384615383,False,False,False,False,"['premium too high ($136.50)', 'spread $0.210 > $0.05', 'spread_pct 15.4% > 7%', 'low liquidity (OI=57, Vol=59)']",1.15,1.45,1.3,1,0,21.5,2026-09-18,21.42,1.4,,,,130.0,0.30000000000000004,0.23076923076923078,False,False,False,False,"['premium too high ($130.00)', 'spread $0.300 > $0.05', 'spread_pct 23.1% > 7%', 'low liquidity (OI=0, Vol=1)']"
XLE,RED,1.31,1.59,1.45,317,27338,62.5,2026-09-18,62.27,1.4,,,,145.0,0.28,0.1931034482758621,False,False,True,False,"['premium too high ($145.00)', 'spread $0.280 > $0.05', 'spread_pct 19.3% > 7%']",1.33,1.64,1.485,279,11024,62.5,2026-09-18,62.27,1.46,,,,148.5,0.30999999999999983,0.20875420875420864,False,False,True,False,"['premium too high ($148.50)', 'spread $0.310 > $0.05', 'spread_pct 20.9% > 7%']"
HBAN,RED,0.3,0.35,0.325,74,715,17,2026-09-18,16.86,0.35,,,,32.5,0.04999999999999999,0.1538461538461538,True,False,False,False,"['spread_pct 15.4% > 7%', 'low liquidity (OI=715, Vol=74)']",0.5,0.65,0.575,16,1906,17,2026-09-18,16.86,0.5,,,,57.49999999999999,0.15000000000000002,0.26086956521739135,True,False,True,False,"['spread $0.150 > $0.05', 'spread_pct 26.1% > 7%']"
SVXY,RED,1.2,1.55,1.375,24,55,63,2026-09-18,62.95,1.2,,,,137.5,0.3500000000000001,0.25454545454545463,False,False,False,False,"['premium too high ($137.50)', 'spread $0.350 > $0.05', 'spread_pct 25.5% > 7%', 'low liquidity (OI=55, Vol=24)']",1.35,1.6,1.475,18,6,63,2026-09-18,62.95,1.51,,,,147.5,0.25,0.1694915254237288,False,False,False,False,"['premium too high ($147.50)', 'spread $0.250 > $0.05', 'spread_pct 16.9% > 7%', 'low liquidity (OI=6, Vol=18)']"
EEM,RED,1.36,1.75,1.555,5,2042,67.5,2026-09-18,67.51,1.47,,,,155.5,0.3899999999999999,0.25080385852090026,False,False,True,False,"['premium too high ($155.50)', 'spread $0.390 > $0.05', 'spread_pct 25.1% > 7%']",1.13,1.41,1.27,49,1164,67.5,2026-09-18,67.51,1.38,,,,127.0,0.28,0.22047244094488191,False,False,True,False,"['premium too high ($127.00)', 'spread $0.280 > $0.05', 'spread_pct 22.0% > 7%']"
AGNC,RED,0.1,0.14,0.12,603,20667,11,2026-09-18,10.94,0.12,,,,12.0,0.04000000000000001,0.3333333333333334,True,False,True,False,['spread_pct 33.3% > 7%'],0.28,0.33,0.305,169,9473,11,2026-09-18,10.94,0.29,,,,30.5,0.04999999999999999,0.16393442622950816,True,False,True,False,['spread_pct 16.4% > 7%']
UVXY,RED,1.21,1.36,1.285,307,649,18,2026-09-18,18.13,1.36,,,,128.5,0.15000000000000013,0.11673151750972774,False,False,False,False,"['premium too high ($128.50)', 'spread $0.150 > $0.05', 'spread_pct 11.7% > 7%', 'low liquidity (OI=649, Vol=307)']",0.85,1.25,1.05,239,522,18,2026-09-18,18.13,1.1,,,,105.0,0.4,0.38095238095238093,False,False,False,False,"['premium too high ($105.00)', 'spread $0.400 > $0.05', 'spread_pct 38.1% > 7%', 'low liquidity (OI=522, Vol=239)']"
KWEB,RED,0.67,0.96,0.815,514,4612,26,2026-09-18,26.04,0.74,,,,81.5,0.2899999999999999,0.35582822085889565,False,False,True,False,"['premium too high ($81.50)', 'spread $0.290 > $0.05', 'spread_pct 35.6% > 7%']",0.51,0.6,0.555,1052,37804,26,2026-09-18,26.04,0.57,,,,55.50000000000001,0.08999999999999997,0.1621621621621621,True,False,True,False,"['spread $0.090 > $0.05', 'spread_pct 16.2% > 7%']"
XLU,RED,0.7,1.1,0.9,84,820,43,2026-09-18,43.16,0.77,,,,90.0,0.40000000000000013,0.4444444444444446,False,False,False,False,"['premium too high ($90.00)', 'spread $0.400 > $0.05', 'spread_pct 44.4% > 7%', 'low liquidity (OI=820, Vol=84)']",0.5,0.57,0.535,395,7654,43,2026-09-18,43.16,0.53,,,,53.5,0.06999999999999995,0.130841121495327,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 13.1% > 7%']"
RF,RED,0.6,0.85,0.725,39,511,30,2026-09-18,30.39,0.79,,,,72.5,0.25,0.3448275862068966,True,False,False,False,"['spread $0.250 > $0.05', 'spread_pct 34.5% > 7%', 'low liquidity (OI=511, Vol=39)']",0.45,0.6,0.525,7,778,30,2026-09-18,30.39,0.55,,,,52.5,0.14999999999999997,0.28571428571428564,True,False,False,False,"['spread $0.150 > $0.05', 'spread_pct 28.6% > 7%', 'low liquidity (OI=778, Vol=7)']"
