ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
IBIT,GREEN,0.46,0.47,0.465,3715,5620,44,2026-08-31,43.88,0.47,,,,46.5,0.009999999999999953,0.02150537634408592,True,True,True,True,[],0.52,0.55,0.535,5164,1581,44,2026-08-31,43.88,0.53,,,,53.5,0.030000000000000027,0.056074766355140235,True,True,True,True,[]
MARA,YELLOW,0.87,0.96,0.915,297,257,10.5,2026-09-18,10.66,0.92,,,,91.5,0.08999999999999997,0.09836065573770487,False,False,False,False,"['premium too high ($91.50)', 'spread $0.090 > $0.05', 'spread_pct 9.8% > 7%', 'low liquidity (OI=257, Vol=297)']",0.7,0.74,0.72,613,464,10.5,2026-09-18,10.66,0.7,,,,72.0,0.040000000000000036,0.05555555555555561,True,True,True,True,[]
F,YELLOW,0.33,0.36,0.345,1114,25162,14,2026-09-18,13.875,0.35,,,,34.5,0.02999999999999997,0.08695652173913036,True,False,True,False,['spread_pct 8.7% > 7%'],0.42,0.45,0.435,552,28431,14,2026-09-18,13.875,0.43,,,,43.5,0.030000000000000027,0.06896551724137938,True,True,True,True,[]
VALE,YELLOW,0.48,0.51,0.495,329,40731,15,2026-09-18,15.045,0.45,,,,49.5,0.030000000000000027,0.06060606060606066,True,True,True,True,[],0.39,0.43,0.41,33,21719,15,2026-09-18,15.045,0.44,,,,41.0,0.03999999999999998,0.09756097560975606,True,False,True,False,['spread_pct 9.8% > 7%']
GDX,RED,4.2,4.3,4.25,3662,27276,100,2026-09-18,99.5,4.3,,,,425.0,0.09999999999999964,0.0235294117647058,False,False,True,False,"['premium too high ($425.00)', 'spread $0.100 > $0.05']",4.25,4.45,4.35,3880,10644,100,2026-09-18,99.5,4.39,,,,434.99999999999994,0.20000000000000018,0.04597701149425292,False,False,True,False,"['premium too high ($435.00)', 'spread $0.200 > $0.05']"
SLV,RED,2.34,2.43,2.385,2462,34006,60,2026-09-18,60.02,2.37,,,,238.49999999999997,0.0900000000000003,0.037735849056603904,False,False,True,False,"['premium too high ($238.50)', 'spread $0.090 > $0.05']",2.26,2.35,2.305,2288,17436,60,2026-09-18,60.02,2.25,,,,230.50000000000003,0.0900000000000003,0.03904555314533635,False,False,True,False,"['premium too high ($230.50)', 'spread $0.090 > $0.05']"
BAC,RED,0.98,1.05,1.015,451,11286,62.5,2026-09-18,62.325,1.01,,,,101.49999999999999,0.07000000000000006,0.06896551724137938,False,False,True,False,"['premium too high ($101.50)', 'spread $0.070 > $0.05']",1.31,1.4,1.355,3144,11107,62.5,2026-09-18,62.325,1.35,,,,135.5,0.08999999999999986,0.06642066420664196,False,False,True,False,"['premium too high ($135.50)', 'spread $0.090 > $0.05']"
TQQQ,RED,3.15,3.4,3.275,478,2356,72,2026-09-18,71.78,3.3,,,,327.5,0.25,0.07633587786259542,False,False,True,False,"['premium too high ($327.50)', 'spread $0.250 > $0.05', 'spread_pct 7.6% > 7%']",3.25,3.5,3.375,408,895,72,2026-09-18,71.78,3.4,,,,337.5,0.25,0.07407407407407407,False,False,False,False,"['premium too high ($337.50)', 'spread $0.250 > $0.05', 'spread_pct 7.4% > 7%', 'low liquidity (OI=895, Vol=408)']"
RIOT,RED,1.32,1.43,1.375,638,2052,19,2026-09-18,18.98,1.45,,,,137.5,0.10999999999999988,0.0799999999999999,False,False,True,False,"['premium too high ($137.50)', 'spread $0.110 > $0.05', 'spread_pct 8.0% > 7%']",1.3,1.43,1.365,161,5245,19,2026-09-18,18.98,1.37,,,,136.5,0.1299999999999999,0.09523809523809516,False,False,True,False,"['premium too high ($136.50)', 'spread $0.130 > $0.05', 'spread_pct 9.5% > 7%']"
AA,RED,2.35,2.63,2.49,28,3476,50,2026-09-18,50.32,2.55,,,,249.00000000000003,0.2799999999999998,0.11244979919678706,False,False,True,False,"['premium too high ($249.00)', 'spread $0.280 > $0.05', 'spread_pct 11.2% > 7%']",1.91,2.07,1.99,66,1651,50,2026-09-18,50.32,2.2,,,,199.0,0.15999999999999992,0.08040201005025122,False,False,True,False,"['premium too high ($199.00)', 'spread $0.160 > $0.05', 'spread_pct 8.0% > 7%']"
