ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,YELLOW,0.74,0.79,0.765,878,38108,18,2026-08-21,18.095,0.76,,,,76.5,0.050000000000000044,0.06535947712418307,False,False,True,False,"['premium too high ($76.50)', 'spread $0.050 > $0.05']",0.62,0.65,0.635,1056,10170,18,2026-08-21,18.095,0.64,,,,63.5,0.030000000000000027,0.04724409448818902,True,True,True,True,[]
F,YELLOW,0.21,0.23,0.22,1521,9087,14,2026-08-21,13.79,0.22,,,,22.0,0.020000000000000018,0.090909090909091,True,False,True,False,['spread_pct 9.1% > 7%'],0.55,0.57,0.56,339,7332,14,2026-08-21,13.79,0.58,,,,56.00000000000001,0.019999999999999907,0.035714285714285546,True,True,True,True,[]
RIVN,YELLOW,0.58,0.6,0.59,50,2006,15.5,2026-08-21,15.39,0.59,,,,59.0,0.020000000000000018,0.0338983050847458,True,True,True,True,[],0.56,0.69,0.625,399,2093,15.5,2026-08-21,15.39,0.66,,,,62.5,0.1299999999999999,0.20799999999999982,True,False,True,False,"['spread $0.130 > $0.05', 'spread_pct 20.8% > 7%']"
SLV,RED,1.7,1.82,1.76,498,8826,56,2026-08-21,55.87,1.77,,,,176.0,0.1200000000000001,0.06818181818181825,False,False,True,False,"['premium too high ($176.00)', 'spread $0.120 > $0.05']",1.92,2.03,1.975,91,1354,56,2026-08-21,55.87,1.98,,,,197.5,0.10999999999999988,0.055696202531645506,False,False,True,False,"['premium too high ($197.50)', 'spread $0.110 > $0.05']"
BAC,RED,1,1.09,1.045,214,4823,63,2026-08-21,63.005,0.96,,,,104.5,0.09000000000000008,0.08612440191387569,False,False,True,False,"['premium too high ($104.50)', 'spread $0.090 > $0.05', 'spread_pct 8.6% > 7%']",0.93,0.99,0.96,361,667,63,2026-08-21,63.005,0.99,,,,96.0,0.05999999999999994,0.062499999999999944,False,False,False,False,"['premium too high ($96.00)', 'spread $0.060 > $0.05', 'low liquidity (OI=667, Vol=361)']"
PFE,RED,0.53,0.57,0.55,3317,74347,26,2026-08-21,26.2,0.54,,,,55.00000000000001,0.039999999999999925,0.07272727272727258,True,False,True,False,['spread_pct 7.3% > 7%'],0.3,0.34,0.32,1711,9346,26,2026-08-21,26.2,0.33,,,,32.0,0.040000000000000036,0.1250000000000001,True,False,True,False,['spread_pct 12.5% > 7%']
AAL,RED,0.58,0.68,0.63,100,11663,16,2026-08-21,16.02,0.63,,,,63.0,0.10000000000000009,0.15873015873015886,True,False,True,False,"['spread $0.100 > $0.05', 'spread_pct 15.9% > 7%']",0.56,0.62,0.59,177,6393,16,2026-08-21,16.02,0.62,,,,59.0,0.05999999999999994,0.1016949152542372,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 10.2% > 7%']"
AA,RED,1.8,1.98,1.89,17,220,47.5,2026-08-21,47.46,1.99,,,,189.0,0.17999999999999994,0.0952380952380952,False,False,False,False,"['premium too high ($189.00)', 'spread $0.180 > $0.05', 'spread_pct 9.5% > 7%', 'low liquidity (OI=220, Vol=17)']",1.81,2.15,1.98,63,100,47.5,2026-08-21,47.46,1.83,,,,198.0,0.33999999999999986,0.17171717171717166,False,False,False,False,"['premium too high ($198.00)', 'spread $0.340 > $0.05', 'spread_pct 17.2% > 7%', 'low liquidity (OI=100, Vol=63)']"
DAL,RED,2.4,2.85,2.625,55,250,92,2026-08-21,92.01,3.06,,,,262.5,0.4500000000000002,0.17142857142857149,False,False,False,False,"['premium too high ($262.50)', 'spread $0.450 > $0.05', 'spread_pct 17.1% > 7%', 'low liquidity (OI=250, Vol=55)']",2.26,2.5,2.38,55,39,92,2026-08-21,92.01,2.4,,,,238.0,0.2400000000000002,0.10084033613445388,False,False,False,False,"['premium too high ($238.00)', 'spread $0.240 > $0.05', 'spread_pct 10.1% > 7%', 'low liquidity (OI=39, Vol=55)']"
OXY,RED,1.59,1.85,1.72,446,1252,56,2026-08-21,56.05,1.63,,,,172.0,0.26,0.15116279069767444,False,False,True,False,"['premium too high ($172.00)', 'spread $0.260 > $0.05', 'spread_pct 15.1% > 7%']",1.45,1.69,1.57,61,2281,56,2026-08-21,56.05,1.5,,,,157.0,0.24,0.15286624203821655,False,False,True,False,"['premium too high ($157.00)', 'spread $0.240 > $0.05', 'spread_pct 15.3% > 7%']"
MARA,RED,0.87,1.06,0.965,54,54,10.5,2026-08-21,10.4,1.06,,,,96.5,0.19000000000000006,0.19689119170984462,False,False,False,False,"['premium too high ($96.50)', 'spread $0.190 > $0.05', 'spread_pct 19.7% > 7%', 'low liquidity (OI=54, Vol=54)']",0.7,0.78,0.74,305,1967,10.5,2026-08-21,10.4,0.74,,,,74.0,0.08000000000000007,0.10810810810810821,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 10.8% > 7%']"
VALE,RED,0.35,0.42,0.385,10,2036,14.5,2026-08-21,14.74,0.58,,,,38.5,0.07,0.18181818181818182,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 18.2% > 7%']",0.38,0.43,0.405,12,1505,14.5,2026-08-21,14.74,0.4,,,,40.5,0.04999999999999999,0.12345679012345676,True,False,True,False,['spread_pct 12.3% > 7%']
CLF,RED,0.71,0.81,0.76,541,14837,12,2026-08-21,12.245,0.74,,,,76.0,0.10000000000000009,0.13157894736842116,False,False,True,False,"['premium too high ($76.00)', 'spread $0.100 > $0.05', 'spread_pct 13.2% > 7%']",0.43,0.52,0.475,186,2731,12,2026-08-21,12.245,0.49,,,,47.5,0.09000000000000002,0.18947368421052638,True,False,True,False,"['spread $0.090 > $0.05', 'spread_pct 18.9% > 7%']"
TQQQ,RED,3.05,3.75,3.4,397,2797,72,2026-08-21,72.1,3.85,,,,340.0,0.7000000000000002,0.20588235294117652,False,False,True,False,"['premium too high ($340.00)', 'spread $0.700 > $0.05', 'spread_pct 20.6% > 7%']",3.1,3.55,3.325,226,689,72,2026-08-21,72.1,3.51,,,,332.5,0.44999999999999973,0.13533834586466156,False,False,False,False,"['premium too high ($332.50)', 'spread $0.450 > $0.05', 'spread_pct 13.5% > 7%', 'low liquidity (OI=689, Vol=226)']"
GDX,RED,2.53,3.2,2.865,1102,4258,84,2026-08-21,83.91,2.73,,,,286.5,0.6700000000000004,0.23385689354275754,False,False,True,False,"['premium too high ($286.50)', 'spread $0.670 > $0.05', 'spread_pct 23.4% > 7%']",2.64,2.96,2.8,43,789,84,2026-08-21,83.91,3,,,,280.0,0.31999999999999984,0.11428571428571424,False,False,False,False,"['premium too high ($280.00)', 'spread $0.320 > $0.05', 'spread_pct 11.4% > 7%', 'low liquidity (OI=789, Vol=43)']"
KHC,RED,0.58,0.65,0.615,157,5131,25,2026-08-21,24.95,0.57,,,,61.5,0.07000000000000006,0.11382113821138222,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 11.4% > 7%']",0.58,0.75,0.665,357,2396,25,2026-08-21,24.95,0.65,,,,66.5,0.17000000000000004,0.25563909774436094,True,False,True,False,"['spread $0.170 > $0.05', 'spread_pct 25.6% > 7%']"
