ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,YELLOW,0.38,0.41,0.395,1821,7941,17.5,2026-08-21,17.665,0.4,,,,39.5,0.02999999999999997,0.07594936708860751,True,False,True,False,['spread_pct 7.6% > 7%'],0.22,0.23,0.225,7294,7764,17.5,2026-08-21,17.665,0.22,,,,22.5,0.010000000000000009,0.04444444444444448,True,True,True,True,[]
BAC,YELLOW,0.6,0.63,0.615,2593,6061,64,2026-08-21,64.255,0.58,,,,61.5,0.030000000000000027,0.04878048780487809,True,True,True,True,[],0.34,0.37,0.355,17491,7317,64,2026-08-21,64.255,0.37,,,,35.5,0.02999999999999997,0.08450704225352106,True,False,True,False,['spread_pct 8.5% > 7%']
SQQQ,YELLOW,0.65,0.68,0.665,5297,1358,38.5,2026-08-21,38.32,0.68,,,,66.5,0.030000000000000027,0.04511278195488726,True,True,True,True,[],0.85,0.95,0.9,285,220,38.5,2026-08-21,38.32,0.96,,,,90.0,0.09999999999999998,0.11111111111111108,False,False,False,False,"['premium too high ($90.00)', 'spread $0.100 > $0.05', 'spread_pct 11.1% > 7%', 'low liquidity (OI=220, Vol=285)']"
MARA,YELLOW,0.25,0.28,0.265,3786,2346,9,2026-08-21,8.965,0.26,,,,26.5,0.030000000000000027,0.11320754716981142,True,False,True,False,['spread_pct 11.3% > 7%'],0.28,0.3,0.29,5248,13736,9,2026-08-21,8.965,0.3,,,,28.999999999999996,0.019999999999999962,0.06896551724137918,True,True,True,True,[]
OXY,YELLOW,0.68,0.72,0.7,4249,15642,60,2026-08-21,59.82,0.72,,,,70.0,0.039999999999999925,0.05714285714285704,True,True,True,True,[],0.72,0.99,0.855,10,1360,60,2026-08-21,59.82,0.83,,,,85.5,0.27,0.31578947368421056,False,False,True,False,"['premium too high ($85.50)', 'spread $0.270 > $0.05', 'spread_pct 31.6% > 7%']"
IBIT,RED,0.75,0.78,0.765,2933,59242,36,2026-08-21,36.585,0.76,,,,76.5,0.030000000000000027,0.03921568627450984,False,True,True,False,['premium too high ($76.50)'],0.98,1.03,1.005,14,2303,37.5,2026-08-21,36.585,1,,,,100.49999999999999,0.050000000000000044,0.04975124378109458,False,False,True,False,"['premium too high ($100.50)', 'spread $0.050 > $0.05']"
F,RED,0.13,0.14,0.135,7501,12592,14,2026-08-21,13.95,0.13,,,,13.5,0.010000000000000009,0.07407407407407414,True,False,True,False,['spread_pct 7.4% > 7%'],0.17,0.19,0.18,5311,10939,14,2026-08-21,13.95,0.18,,,,18.0,0.01999999999999999,0.11111111111111106,True,False,True,False,['spread_pct 11.1% > 7%']
SLV,RED,0.78,0.86,0.82,684,814,57.5,2026-08-21,57.39,0.85,,,,82.0,0.07999999999999996,0.09756097560975606,False,False,True,False,"['premium too high ($82.00)', 'spread $0.080 > $0.05', 'spread_pct 9.8% > 7%']",0.86,0.94,0.9,576,394,57.5,2026-08-21,57.39,0.91,,,,90.0,0.07999999999999996,0.08888888888888884,False,False,True,False,"['premium too high ($90.00)', 'spread $0.080 > $0.05', 'spread_pct 8.9% > 7%']"
TQQQ,RED,1.38,1.52,1.45,892,139,72.5,2026-08-21,72.44,1.4,,,,145.0,0.14000000000000012,0.09655172413793112,False,False,True,False,"['premium too high ($145.00)', 'spread $0.140 > $0.05', 'spread_pct 9.7% > 7%']",1.32,1.47,1.395,1184,2389,72.5,2026-08-21,72.44,1.4,,,,139.5,0.1499999999999999,0.10752688172043004,False,False,True,False,"['premium too high ($139.50)', 'spread $0.150 > $0.05', 'spread_pct 10.8% > 7%']"
AAL,RED,0.24,0.27,0.255,737,5995,14,2026-08-21,14.04,0.25,,,,25.5,0.030000000000000027,0.11764705882352951,True,False,True,False,['spread_pct 11.8% > 7%'],0.18,0.2,0.19,5242,14281,14,2026-08-21,14.04,0.19,,,,19.0,0.020000000000000018,0.10526315789473693,True,False,True,False,['spread_pct 10.5% > 7%']
