ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
AAL,YELLOW,0.57,0.59,0.58,1910,5517,14,2026-09-18,13.845,0.57,,,,57.99999999999999,0.020000000000000018,0.03448275862068969,True,True,True,True,[],0.65,0.7,0.675,659,13939,14,2026-09-18,13.845,0.68,,,,67.5,0.04999999999999993,0.07407407407407397,True,False,True,False,['spread_pct 7.4% > 7%']
F,YELLOW,0.39,0.41,0.4,751,24642,14,2026-09-18,13.9,0.38,,,,40.0,0.019999999999999962,0.049999999999999906,True,True,True,True,[],0.39,0.54,0.465,425,28359,14,2026-09-18,13.9,0.5,,,,46.5,0.15000000000000002,0.32258064516129037,True,False,True,False,"['spread $0.150 > $0.05', 'spread_pct 32.3% > 7%']"
GDX,RED,5.05,5.25,5.15,173,910,102,2026-09-18,102.47,5.13,,,,515.0,0.20000000000000018,0.03883495145631071,False,False,False,False,"['premium too high ($515.00)', 'spread $0.200 > $0.05', 'low liquidity (OI=910, Vol=173)']",4.35,4.5,4.425,733,632,102,2026-09-18,102.47,4.5,,,,442.5,0.15000000000000036,0.033898305084745846,False,False,True,False,"['premium too high ($442.50)', 'spread $0.150 > $0.05']"
SLV,RED,2.69,2.81,2.75,61,1856,61.5,2026-09-18,61.61,2.76,,,,275.0,0.1200000000000001,0.043636363636363674,False,False,True,False,"['premium too high ($275.00)', 'spread $0.120 > $0.05']",2.49,2.58,2.535,20,1281,61.5,2026-09-18,61.61,2.5,,,,253.5,0.08999999999999986,0.0355029585798816,False,False,True,False,"['premium too high ($253.50)', 'spread $0.090 > $0.05']"
SQQQ,RED,2.24,2.44,2.34,11,1108,39,2026-09-18,39.15,2.25,,,,234.0,0.19999999999999973,0.08547008547008536,False,False,True,False,"['premium too high ($234.00)', 'spread $0.200 > $0.05', 'spread_pct 8.5% > 7%']",1.88,1.97,1.925,53,1211,39,2026-09-18,39.15,2.01,,,,192.5,0.09000000000000008,0.0467532467532468,False,False,True,False,"['premium too high ($192.50)', 'spread $0.090 > $0.05']"
VALE,RED,0.58,0.63,0.605,160,40779,15,2026-09-18,15.175,0.59,,,,60.5,0.050000000000000044,0.08264462809917363,True,False,True,False,"['spread $0.050 > $0.05', 'spread_pct 8.3% > 7%']",0.37,0.4,0.385,163,21940,15,2026-09-18,15.175,0.37,,,,38.5,0.030000000000000027,0.07792207792207799,True,False,True,False,['spread_pct 7.8% > 7%']
BAC,RED,1.23,1.34,1.285,47,1813,62,2026-09-18,62.225,1.33,,,,128.5,0.1100000000000001,0.08560311284046701,False,False,True,False,"['premium too high ($128.50)', 'spread $0.110 > $0.05', 'spread_pct 8.6% > 7%']",1.19,1.29,1.24,69,117,62,2026-09-18,62.225,1.2,,,,124.0,0.10000000000000009,0.08064516129032265,False,False,False,False,"['premium too high ($124.00)', 'spread $0.100 > $0.05', 'spread_pct 8.1% > 7%', 'low liquidity (OI=117, Vol=69)']"
TQQQ,RED,3.45,3.7,3.575,64,1809,71,2026-09-18,70.93,3.65,,,,357.5,0.25,0.06993006993006992,False,False,True,False,"['premium too high ($357.50)', 'spread $0.250 > $0.05']",3.95,4.35,4.15,28,1891,71,2026-09-18,70.93,4.15,,,,415.00000000000006,0.39999999999999947,0.09638554216867457,False,False,True,False,"['premium too high ($415.00)', 'spread $0.400 > $0.05', 'spread_pct 9.6% > 7%']"
AA,RED,2.23,2.51,2.37,21,3488,50,2026-09-18,49.75,2.35,,,,237.0,0.2799999999999998,0.11814345991561173,False,False,True,False,"['premium too high ($237.00)', 'spread $0.280 > $0.05', 'spread_pct 11.8% > 7%']",2.45,2.61,2.53,198,1487,50,2026-09-18,49.75,2.52,,,,252.99999999999997,0.1599999999999997,0.06324110671936747,False,False,True,False,"['premium too high ($253.00)', 'spread $0.160 > $0.05']"
OXY,RED,1.53,1.7,1.615,3,23,59,2026-09-18,58.63,1.52,,,,161.5,0.16999999999999993,0.1052631578947368,False,False,False,False,"['premium too high ($161.50)', 'spread $0.170 > $0.05', 'spread_pct 10.5% > 7%', 'low liquidity (OI=23, Vol=3)']",1.98,2.15,2.065,10,19,59,2026-09-18,58.63,2.01,,,,206.5,0.16999999999999993,0.08232445520581111,False,False,False,False,"['premium too high ($206.50)', 'spread $0.170 > $0.05', 'spread_pct 8.2% > 7%', 'low liquidity (OI=19, Vol=10)']"
