ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
F,GREEN,0.65,0.66,0.655,492,11260,14,2026-07-17,14.1,0.61,,,,65.5,0.010000000000000009,0.015267175572519097,True,True,True,True,[],0.5,0.53,0.515,1186,18162,14,2026-07-17,14.1,0.54,,,,51.5,0.030000000000000027,0.05825242718446607,True,True,True,True,[]
VALE,GREEN,0.66,0.7,0.68,156,0,15.5,2026-07-17,15.71,0.65,,,,68.0,0.039999999999999925,0.058823529411764594,True,True,False,True,"['low liquidity (OI=0, Vol=156)']",0.4,0.42,0.41,365,0,15.5,2026-07-17,15.71,0.44,,,,41.0,0.019999999999999962,0.04878048780487796,True,True,False,True,"['low liquidity (OI=0, Vol=365)']"
PFE,GREEN,0.59,0.63,0.61,11013,3045,25,2026-07-17,25.07,0.61,,,,61.0,0.040000000000000036,0.06557377049180334,True,True,True,True,[],0.46,0.49,0.475,3633,18921,25,2026-07-17,25.07,0.46,,,,47.5,0.02999999999999997,0.06315789473684205,True,True,True,True,[]
ETHA,YELLOW,0.76,0.78,0.77,188,2685,13,2026-07-17,13.09,0.76,,,,77.0,0.020000000000000018,0.025974025974025997,False,True,True,False,['premium too high ($77.00)'],0.65,0.68,0.665,1442,7280,13,2026-07-17,13.09,0.66,,,,66.5,0.030000000000000027,0.04511278195488726,True,True,True,True,[]
IBIT,YELLOW,0.57,0.6,0.585,805,2104,37,2026-06-30,36.52,0.55,,,,58.5,0.030000000000000027,0.05128205128205133,True,True,True,True,[],1,1.06,1.03,1688,6751,37,2026-06-30,36.52,1.04,,,,103.0,0.06000000000000005,0.05825242718446607,False,False,True,False,"['premium too high ($103.00)', 'spread $0.060 > $0.05']"
CMCSA,YELLOW,0.54,0.57,0.555,270,1093,22.5,2026-07-17,22.315,0.57,,,,55.50000000000001,0.029999999999999916,0.0540540540540539,True,True,True,True,[],0.95,1.01,0.98,135,13752,22.5,2026-07-17,22.315,0.93,,,,98.0,0.06000000000000005,0.06122448979591842,False,False,True,False,"['premium too high ($98.00)', 'spread $0.060 > $0.05']"
NU,YELLOW,0.42,0.47,0.445,410,51716,13,2026-07-17,12.8,0.47,,,,44.5,0.04999999999999999,0.11235955056179772,True,False,True,False,['spread_pct 11.2% > 7%'],0.59,0.63,0.61,865,45629,13,2026-07-17,12.8,0.6,,,,61.0,0.040000000000000036,0.06557377049180334,True,True,True,True,[]
LYFT,YELLOW,0.83,0.97,0.9,46,3414,14,2026-07-17,14.225,0.96,,,,90.0,0.14,0.15555555555555556,False,False,True,False,"['premium too high ($90.00)', 'spread $0.140 > $0.05', 'spread_pct 15.6% > 7%']",0.56,0.6,0.58,219,1826,14,2026-07-17,14.225,0.61,,,,57.99999999999999,0.039999999999999925,0.06896551724137918,True,True,True,True,[]
SLV,RED,2.58,2.67,2.625,304,3335,59,2026-07-17,58.96,2.61,,,,262.5,0.08999999999999986,0.03428571428571423,False,False,True,False,"['premium too high ($262.50)', 'spread $0.090 > $0.05']",2.49,2.6,2.545,1214,4263,59,2026-07-17,58.96,2.52,,,,254.5,0.10999999999999988,0.043222003929273035,False,False,True,False,"['premium too high ($254.50)', 'spread $0.110 > $0.05']"
HAL,RED,1.41,1.46,1.435,121,963,35,2026-07-17,35.145,1.42,,,,143.5,0.050000000000000044,0.034843205574912925,False,False,False,False,"['premium too high ($143.50)', 'spread $0.050 > $0.05', 'low liquidity (OI=963, Vol=121)']",1.17,1.23,1.2,125,2102,35,2026-07-17,35.145,1.26,,,,120.0,0.06000000000000005,0.050000000000000044,False,False,True,False,"['premium too high ($120.00)', 'spread $0.060 > $0.05']"
