ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
IBIT,GREEN,0.2,0.21,0.205,15148,7117,43.5,2026-09-18,43.35,0.22,,,,20.5,0.009999999999999981,0.04878048780487796,True,True,True,True,[],0.33,0.35,0.34,3430,1183,43.5,2026-09-18,43.35,0.36,,,,34.0,0.019999999999999962,0.058823529411764594,True,True,True,True,[]
MARA,GREEN,0.29,0.31,0.3,20704,16853,11.5,2026-09-18,11.65,0.3,,,,30.0,0.020000000000000018,0.06666666666666674,True,True,True,True,[],0.15,0.16,0.155,8292,12876,11.5,2026-09-18,11.65,0.15,,,,15.5,0.010000000000000009,0.06451612903225812,True,True,True,True,[]
SLV,YELLOW,0.5,0.54,0.52,2722,5253,59,2026-09-18,58.96,0.53,,,,52.0,0.040000000000000036,0.07692307692307698,True,False,True,False,['spread_pct 7.7% > 7%'],0.57,0.58,0.575,6015,6245,59,2026-09-18,58.96,0.58,,,,57.49999999999999,0.010000000000000009,0.017391304347826105,True,True,True,True,[]
TQQQ,YELLOW,0.68,0.72,0.7,3859,1355,71.5,2026-09-18,71.31,0.7,,,,70.0,0.039999999999999925,0.05714285714285704,True,True,True,True,[],0.82,0.86,0.84,1819,868,71.5,2026-09-18,71.31,0.86,,,,84.0,0.040000000000000036,0.047619047619047665,False,True,True,False,['premium too high ($84.00)']
BAC,YELLOW,0.4,0.42,0.41,15228,5317,58,2026-09-18,58.16,0.37,,,,41.0,0.019999999999999962,0.04878048780487796,True,True,True,True,[],0.2,0.23,0.215,1849,3293,58,2026-09-18,58.16,0.22,,,,21.5,0.03,0.13953488372093023,True,False,True,False,['spread_pct 14.0% > 7%']
SOFI,YELLOW,0.3,0.32,0.31,5968,1334,16.5,2026-09-18,16.73,0.3,,,,31.0,0.020000000000000018,0.06451612903225812,True,True,True,True,[],0.06,0.08,0.07,12366,14999,16.5,2026-09-18,16.73,0.07,,,,7.000000000000001,0.020000000000000004,0.28571428571428575,True,False,True,False,['spread_pct 28.6% > 7%']
SQQQ,RED,0.43,0.48,0.455,4714,1376,38.5,2026-09-18,38.6,0.45,,,,45.5,0.04999999999999999,0.10989010989010986,True,False,True,False,['spread_pct 11.0% > 7%'],0.38,0.43,0.405,1690,967,38.5,2026-09-18,38.6,0.42,,,,40.5,0.04999999999999999,0.12345679012345676,True,False,True,False,['spread_pct 12.3% > 7%']
GDX,RED,0.85,0.93,0.89,2149,4490,96,2026-09-18,95.75,0.85,,,,89.0,0.08000000000000007,0.08988764044943828,False,False,True,False,"['premium too high ($89.00)', 'spread $0.080 > $0.05', 'spread_pct 9.0% > 7%']",0.81,0.95,0.88,394,4644,96,2026-09-18,95.75,0.86,,,,88.0,0.1399999999999999,0.15909090909090898,False,False,True,False,"['premium too high ($88.00)', 'spread $0.140 > $0.05', 'spread_pct 15.9% > 7%']"
RIVN,RED,0.16,0.18,0.17,3215,2932,15.5,2026-09-18,15.43,0.18,,,,17.0,0.01999999999999999,0.11764705882352934,True,False,True,False,['spread_pct 11.8% > 7%'],0.26,0.3,0.28,3778,5614,15.5,2026-09-18,15.43,0.27,,,,28.000000000000004,0.03999999999999998,0.14285714285714277,True,False,True,False,['spread_pct 14.3% > 7%']
RIOT,RED,0.32,0.37,0.345,3772,12066,22,2026-09-18,21.885,0.36,,,,34.5,0.04999999999999999,0.14492753623188404,True,False,True,False,['spread_pct 14.5% > 7%'],0.4,0.47,0.435,1759,13110,22,2026-09-18,21.885,0.44,,,,43.5,0.06999999999999995,0.16091954022988494,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 16.1% > 7%']"
