ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
IBIT,RED,0.02,0.04,0.03,54787,13769,44,2026-08-21,43.78,0.04,,,,3.0,0.02,0.6666666666666667,False,False,True,False,"['premium too low ($3.00)', 'spread_pct 66.7% > 7%']",0.21,0.3,0.255,14874,70,44,2026-08-21,43.78,0.25,,,,25.5,0.09,0.3529411764705882,True,False,True,False,"['spread $0.090 > $0.05', 'spread_pct 35.3% > 7%']"
SOFI,RED,0.01,0.02,0.015,69904,50633,19,2026-08-21,18.905,0.01,,,,1.5,0.01,0.6666666666666667,False,False,True,False,"['premium too low ($1.50)', 'spread_pct 66.7% > 7%']",0.09,0.15,0.12,29023,6216,19,2026-08-21,18.905,0.1,,,,12.0,0.06,0.5,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 50.0% > 7%']"
SQQQ,RED,0.04,0.06,0.05,8004,5283,39,2026-08-21,39.06,0.1,,,,5.0,0.019999999999999997,0.3999999999999999,False,False,True,False,"['premium too low ($5.00)', 'spread_pct 40.0% > 7%']",0.01,0.04,0.025,2561,644,39,2026-08-21,39.06,0.04,,,,2.5,0.03,1.2,False,False,True,False,"['premium too low ($2.50)', 'spread_pct 120.0% > 7%']"
VXX,RED,0.01,0.02,0.015,3150,1665,19,2026-08-21,18.94,0.01,,,,1.5,0.01,0.6666666666666667,False,False,True,False,"['premium too low ($1.50)', 'spread_pct 66.7% > 7%']",0.04,0.11,0.075,5252,6526,19,2026-08-21,18.94,0.06,,,,7.5,0.07,0.9333333333333335,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 93.3% > 7%']"
TQQQ,RED,0.12,0.24,0.18,14464,1938,71,2026-08-21,71.06,0.16,,,,18.0,0.12,0.6666666666666666,True,False,True,False,"['spread $0.120 > $0.05', 'spread_pct 66.7% > 7%']",0.01,0.03,0.02,10158,4929,71,2026-08-21,71.06,0.04,,,,2.0,0.019999999999999997,0.9999999999999998,False,False,True,False,"['premium too low ($2.00)', 'spread_pct 100.0% > 7%']"
GDX,RED,0.1,0.58,0.34,8067,1749,103,2026-08-21,102.72,0.25,,,,34.0,0.48,1.4117647058823528,True,False,True,False,"['spread $0.480 > $0.05', 'spread_pct 141.2% > 7%']",0.24,0.57,0.405,1140,0,103,2026-08-21,102.72,0.34,,,,40.5,0.32999999999999996,0.8148148148148147,True,False,True,False,"['spread $0.330 > $0.05', 'spread_pct 81.5% > 7%']"
RIVN,RED,0.01,0.02,0.015,25073,13046,17,2026-08-21,16.96,0.05,,,,1.5,0.01,0.6666666666666667,False,False,True,False,"['premium too low ($1.50)', 'spread_pct 66.7% > 7%']",0.02,0.28,0.15,3841,2262,17,2026-08-21,16.96,0.05,,,,15.0,0.26,1.7333333333333334,True,False,True,False,"['spread $0.260 > $0.05', 'spread_pct 173.3% > 7%']"
BMY,RED,0.06,0.18,0.12,502,1287,67,2026-08-21,67.015,0.13,,,,12.0,0.12,1.0,True,False,True,False,"['spread $0.120 > $0.05', 'spread_pct 100.0% > 7%']",0.02,0.39,0.205,376,100,67,2026-08-21,67.015,0.09,,,,20.5,0.37,1.8048780487804879,True,False,False,False,"['spread $0.370 > $0.05', 'spread_pct 180.5% > 7%', 'low liquidity (OI=100, Vol=376)']"
AES,RED,0,0.01,0.005,57,11925,15,2026-08-21,14.77,0.01,,,,,,,False,False,,False,['no quote (bid/ask zero or missing)'],0.23,0.26,0.245,61,2175,15,2026-08-21,14.77,0.23,,,,24.5,0.03,0.12244897959183673,True,False,True,False,['spread_pct 12.2% > 7%']
VALE,RED,0.07,0.08,0.075,8076,9781,14.5,2026-08-21,14.59,0.08,,,,7.5,0.009999999999999995,0.13333333333333328,True,False,True,False,['spread_pct 13.3% > 7%'],0,0.04,0.02,48,722,14.5,2026-08-21,14.59,0.02,,,,,,,False,False,,False,['no quote (bid/ask zero or missing)']
