ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.6,0.62,0.61,1968,15138,17,2026-09-18,17.2,0.63,,,,61.0,0.020000000000000018,0.03278688524590167,True,True,True,True,[],0.37,0.38,0.375,5090,29380,17,2026-09-18,17.2,0.37,,,,37.5,0.010000000000000009,0.02666666666666669,True,True,True,True,[]
MARA,GREEN,0.55,0.58,0.565,736,3732,11.5,2026-09-18,11.425,0.57,,,,56.49999999999999,0.029999999999999916,0.053097345132743216,True,True,True,True,[],0.6,0.63,0.615,1445,11651,11.5,2026-09-18,11.425,0.63,,,,61.5,0.030000000000000027,0.04878048780487809,True,True,True,True,[]
RIVN,GREEN,0.57,0.61,0.59,708,24015,16,2026-09-18,16.055,0.59,,,,59.0,0.040000000000000036,0.0677966101694916,True,True,True,True,[],0.48,0.51,0.495,3101,18096,16,2026-09-18,16.055,0.51,,,,49.5,0.030000000000000027,0.06060606060606066,True,True,True,True,[]
AAL,YELLOW,0.3,0.34,0.32,861,10590,13,2026-09-18,12.86,0.32,,,,32.0,0.040000000000000036,0.1250000000000001,True,False,True,False,['spread_pct 12.5% > 7%'],0.44,0.47,0.455,1021,13591,13,2026-09-18,12.86,0.47,,,,45.5,0.02999999999999997,0.06593406593406587,True,True,True,True,[]
SLV,RED,1.63,1.68,1.655,463,1250,57.5,2026-09-18,57.49,1.65,,,,165.5,0.050000000000000044,0.03021148036253779,False,False,True,False,"['premium too high ($165.50)', 'spread $0.050 > $0.05']",1.58,1.62,1.6,352,3155,57.5,2026-09-18,57.49,1.59,,,,160.0,0.040000000000000036,0.025000000000000022,False,True,True,False,['premium too high ($160.00)']
BAC,RED,0.94,1,0.97,4023,11414,62.5,2026-09-18,62.575,0.96,,,,97.0,0.06000000000000005,0.06185567010309284,False,False,True,False,"['premium too high ($97.00)', 'spread $0.060 > $0.05']",0.82,0.89,0.855,441,12537,62.5,2026-09-18,62.575,0.87,,,,85.5,0.07000000000000006,0.08187134502923984,False,False,True,False,"['premium too high ($85.50)', 'spread $0.070 > $0.05', 'spread_pct 8.2% > 7%']"
F,RED,0.24,0.26,0.25,4184,26274,14,2026-09-18,13.91,0.24,,,,25.0,0.020000000000000018,0.08000000000000007,True,False,True,False,['spread_pct 8.0% > 7%'],0.31,0.34,0.325,1466,27923,14,2026-09-18,13.91,0.35,,,,32.5,0.030000000000000027,0.09230769230769238,True,False,True,False,['spread_pct 9.2% > 7%']
OXY,RED,1.22,1.31,1.265,378,1547,61,2026-09-18,61.165,1.29,,,,126.49999999999999,0.09000000000000008,0.07114624505928861,False,False,True,False,"['premium too high ($126.50)', 'spread $0.090 > $0.05', 'spread_pct 7.1% > 7%']",1.01,1.12,1.065,129,540,61,2026-09-18,61.165,1.12,,,,106.5,0.1100000000000001,0.10328638497652592,False,False,False,False,"['premium too high ($106.50)', 'spread $0.110 > $0.05', 'spread_pct 10.3% > 7%', 'low liquidity (OI=540, Vol=129)']"
GDX,RED,2.77,3.05,2.91,282,1755,96,2026-09-18,96.14,2.91,,,,291.0,0.2799999999999998,0.09621993127147759,False,False,True,False,"['premium too high ($291.00)', 'spread $0.280 > $0.05', 'spread_pct 9.6% > 7%']",2.67,2.91,2.79,595,4019,96,2026-09-18,96.14,2.84,,,,279.0,0.2400000000000002,0.08602150537634416,False,False,True,False,"['premium too high ($279.00)', 'spread $0.240 > $0.05', 'spread_pct 8.6% > 7%']"
SQQQ,RED,1.46,1.53,1.495,6715,20936,40,2026-09-18,39.82,1.5,,,,149.5,0.07000000000000006,0.046822742474916426,False,False,True,False,"['premium too high ($149.50)', 'spread $0.070 > $0.05']",1.51,1.74,1.625,176,3251,40,2026-09-18,39.82,1.62,,,,162.5,0.22999999999999998,0.14153846153846153,False,False,True,False,"['premium too high ($162.50)', 'spread $0.230 > $0.05', 'spread_pct 14.2% > 7%']"
