ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.65,0.67,0.66,3070,38494,18,2026-08-21,18.1,0.65,,,,66.0,0.020000000000000018,0.030303030303030328,True,True,True,True,[],0.5,0.52,0.51,1227,10914,18,2026-08-21,18.1,0.52,,,,51.0,0.020000000000000018,0.03921568627450984,True,True,True,True,[]
IBIT,YELLOW,0.94,0.96,0.95,1439,33053,36,2026-08-21,36.22,0.94,,,,95.0,0.020000000000000018,0.02105263157894739,False,True,True,False,['premium too high ($95.00)'],0.66,0.68,0.67,1171,21839,36,2026-08-21,36.22,0.68,,,,67.0,0.020000000000000018,0.02985074626865674,True,True,True,True,[]
AAL,YELLOW,0.46,0.5,0.48,855,21305,15,2026-08-21,15,0.48,,,,48.0,0.03999999999999998,0.0833333333333333,True,False,True,False,['spread_pct 8.3% > 7%'],0.44,0.47,0.455,944,11683,15,2026-08-21,15,0.45,,,,45.5,0.02999999999999997,0.06593406593406587,True,True,True,True,[]
RIVN,YELLOW,0.58,0.62,0.6,2538,1010,16.5,2026-08-21,16.385,0.61,,,,60.0,0.040000000000000036,0.06666666666666674,True,True,True,True,[],0.6,0.7,0.65,18,489,16.5,2026-08-21,16.385,0.83,,,,65.0,0.09999999999999998,0.1538461538461538,True,False,False,False,"['spread $0.100 > $0.05', 'spread_pct 15.4% > 7%', 'low liquidity (OI=489, Vol=18)']"
T,YELLOW,0.47,0.5,0.485,1940,17823,24,2026-08-21,24.08,0.47,,,,48.5,0.030000000000000027,0.06185567010309284,True,True,True,True,[],0.37,0.44,0.405,78,2355,24,2026-08-21,24.08,0.39,,,,40.5,0.07,0.17283950617283952,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 17.3% > 7%']"
TQQQ,RED,2.7,2.8,2.75,1239,1148,74,2026-08-21,73.78,2.77,,,,275.0,0.09999999999999964,0.03636363636363624,False,False,True,False,"['premium too high ($275.00)', 'spread $0.100 > $0.05']",2.87,3.05,2.96,476,1745,74,2026-08-21,73.78,3,,,,296.0,0.17999999999999972,0.06081081081081072,False,False,True,False,"['premium too high ($296.00)', 'spread $0.180 > $0.05']"
SLV,RED,1.9,2,1.95,203,0,59.5,2026-08-21,59.43,1.97,,,,195.0,0.10000000000000009,0.05128205128205133,False,False,False,False,"['premium too high ($195.00)', 'spread $0.100 > $0.05', 'low liquidity (OI=0, Vol=203)']",1.9,2.03,1.965,35,0,59.5,2026-08-21,59.43,1.9,,,,196.5,0.1299999999999999,0.0661577608142493,False,False,False,False,"['premium too high ($196.50)', 'spread $0.130 > $0.05', 'low liquidity (OI=0, Vol=35)']"
GDX,RED,2.69,2.92,2.805,329,719,91,2026-08-21,90.5,2.85,,,,280.5,0.22999999999999998,0.0819964349376114,False,False,False,False,"['premium too high ($280.50)', 'spread $0.230 > $0.05', 'spread_pct 8.2% > 7%', 'low liquidity (OI=719, Vol=329)']",3.1,3.3,3.2,12,398,91,2026-08-21,90.5,3.29,,,,320.0,0.19999999999999973,0.06249999999999992,False,False,False,False,"['premium too high ($320.00)', 'spread $0.200 > $0.05', 'low liquidity (OI=398, Vol=12)']"
F,RED,0.23,0.25,0.24,2780,9631,14,2026-08-21,14.02,0.23,,,,24.0,0.01999999999999999,0.0833333333333333,True,False,True,False,['spread_pct 8.3% > 7%'],0.34,0.37,0.355,1918,7528,14,2026-08-21,14.02,0.33,,,,35.5,0.02999999999999997,0.08450704225352106,True,False,True,False,['spread_pct 8.5% > 7%']
MARA,RED,0.56,0.65,0.605,3141,232,9.5,2026-08-21,9.55,0.6,,,,60.5,0.08999999999999997,0.14876033057851235,True,False,True,False,"['spread $0.090 > $0.05', 'spread_pct 14.9% > 7%']",0.51,0.55,0.53,561,1969,9.5,2026-08-21,9.55,0.52,,,,53.0,0.040000000000000036,0.07547169811320761,True,False,True,False,['spread_pct 7.5% > 7%']
PFE,RED,0.41,0.45,0.43,2559,25752,27,2026-08-21,27.05,0.41,,,,43.0,0.040000000000000036,0.09302325581395357,True,False,True,False,['spread_pct 9.3% > 7%'],0.34,0.39,0.365,501,1658,27,2026-08-21,27.05,0.38,,,,36.5,0.04999999999999999,0.13698630136986298,True,False,True,False,['spread_pct 13.7% > 7%']
RIOT,RED,1.24,1.38,1.31,2026,851,20,2026-08-21,20.25,1.3,,,,131.0,0.1399999999999999,0.1068702290076335,False,False,True,False,"['premium too high ($131.00)', 'spread $0.140 > $0.05', 'spread_pct 10.7% > 7%']",1.75,1.98,1.865,574,2821,20,2026-08-21,20.25,1.8,,,,186.5,0.22999999999999998,0.12332439678284181,False,False,True,False,"['premium too high ($186.50)', 'spread $0.230 > $0.05', 'spread_pct 12.3% > 7%']"
BMY,RED,1.03,1.18,1.105,455,10665,65,2026-08-21,64.855,1.28,,,,110.5,0.1499999999999999,0.13574660633484156,False,False,True,False,"['premium too high ($110.50)', 'spread $0.150 > $0.05', 'spread_pct 13.6% > 7%']",1.12,1.27,1.195,62,847,65,2026-08-21,64.855,1.16,,,,119.5,0.1499999999999999,0.12552301255230117,False,False,False,False,"['premium too high ($119.50)', 'spread $0.150 > $0.05', 'spread_pct 12.6% > 7%', 'low liquidity (OI=847, Vol=62)']"
OXY,RED,1.13,1.32,1.225,792,711,59,2026-08-21,58.65,1.26,,,,122.50000000000001,0.19000000000000017,0.15510204081632667,False,False,True,False,"['premium too high ($122.50)', 'spread $0.190 > $0.05', 'spread_pct 15.5% > 7%']",1.49,1.7,1.595,37,98,59,2026-08-21,58.65,1.62,,,,159.5,0.20999999999999996,0.13166144200626959,False,False,False,False,"['premium too high ($159.50)', 'spread $0.210 > $0.05', 'spread_pct 13.2% > 7%', 'low liquidity (OI=98, Vol=37)']"
CCL,RED,0.89,0.99,0.94,145,733,27.5,2026-08-21,27.74,0.95,,,,94.0,0.09999999999999998,0.10638297872340424,False,False,False,False,"['premium too high ($94.00)', 'spread $0.100 > $0.05', 'spread_pct 10.6% > 7%', 'low liquidity (OI=733, Vol=145)']",0.54,0.67,0.605,183,2087,27.5,2026-08-21,27.74,0.58,,,,60.5,0.13,0.21487603305785125,True,False,True,False,"['spread $0.130 > $0.05', 'spread_pct 21.5% > 7%']"
AA,RED,1.32,1.75,1.535,67,390,52,2026-08-21,51.65,1.5,,,,153.5,0.42999999999999994,0.2801302931596091,False,False,False,False,"['premium too high ($153.50)', 'spread $0.430 > $0.05', 'spread_pct 28.0% > 7%', 'low liquidity (OI=390, Vol=67)']",1.91,2.04,1.975,91,34,52,2026-08-21,51.65,2.03,,,,197.5,0.13000000000000012,0.06582278481012664,False,False,False,False,"['premium too high ($197.50)', 'spread $0.130 > $0.05', 'low liquidity (OI=34, Vol=91)']"
SQQQ,RED,1.29,1.7,1.495,191,498,37.5,2026-08-21,37.72,1.6,,,,149.5,0.4099999999999999,0.2742474916387959,False,False,False,False,"['premium too high ($149.50)', 'spread $0.410 > $0.05', 'spread_pct 27.4% > 7%', 'low liquidity (OI=498, Vol=191)']",1.29,1.4,1.345,180,157,37.5,2026-08-21,37.72,1.32,,,,134.5,0.10999999999999988,0.08178438661710027,False,False,False,False,"['premium too high ($134.50)', 'spread $0.110 > $0.05', 'spread_pct 8.2% > 7%', 'low liquidity (OI=157, Vol=180)']"
DAL,RED,2.13,2.78,2.455,7,34,89,2026-08-21,89.205,2.55,,,,245.5,0.6499999999999999,0.2647657841140529,False,False,False,False,"['premium too high ($245.50)', 'spread $0.650 > $0.05', 'spread_pct 26.5% > 7%', 'low liquidity (OI=34, Vol=7)']",1.89,2.16,2.025,31,68,89,2026-08-21,89.205,1.98,,,,202.5,0.27000000000000024,0.13333333333333347,False,False,False,False,"['premium too high ($202.50)', 'spread $0.270 > $0.05', 'spread_pct 13.3% > 7%', 'low liquidity (OI=68, Vol=31)']"
HL,RED,0.79,0.9,0.845,306,1560,17.5,2026-08-21,17.57,0.88,,,,84.5,0.10999999999999999,0.1301775147928994,False,False,True,False,"['premium too high ($84.50)', 'spread $0.110 > $0.05', 'spread_pct 13.0% > 7%']",0.72,0.96,0.84,1,48,17.5,2026-08-21,17.57,0.96,,,,84.0,0.24,0.2857142857142857,False,False,False,False,"['premium too high ($84.00)', 'spread $0.240 > $0.05', 'spread_pct 28.6% > 7%', 'low liquidity (OI=48, Vol=1)']"
XLE,RED,1.23,1.28,1.255,12734,74108,60,2026-08-21,60.2,1.26,,,,125.49999999999999,0.050000000000000044,0.039840637450199244,False,False,True,False,"['premium too high ($125.50)', 'spread $0.050 > $0.05']",0.8,1.25,1.025,5335,2489,60,2026-08-21,60.2,1.03,,,,102.49999999999999,0.44999999999999996,0.43902439024390244,False,False,True,False,"['premium too high ($102.50)', 'spread $0.450 > $0.05', 'spread_pct 43.9% > 7%']"
KHC,RED,0.39,0.5,0.445,376,5296,25,2026-08-21,24.95,0.41,,,,44.5,0.10999999999999999,0.24719101123595502,True,False,True,False,"['spread $0.110 > $0.05', 'spread_pct 24.7% > 7%']",0.5,0.64,0.57,555,2387,25,2026-08-21,24.95,0.57,,,,56.99999999999999,0.14,0.24561403508771934,True,False,True,False,"['spread $0.140 > $0.05', 'spread_pct 24.6% > 7%']"
EEM,RED,1.26,1.51,1.385,10,27432,65,2026-08-21,65.15,1.37,,,,138.5,0.25,0.18050541516245489,False,False,True,False,"['premium too high ($138.50)', 'spread $0.250 > $0.05', 'spread_pct 18.1% > 7%']",0.84,1.16,1,13,14743,65,2026-08-21,65.15,1.01,,,,100,0.31999999999999995,0.31999999999999995,False,False,True,False,"['premium too high ($100.00)', 'spread $0.320 > $0.05', 'spread_pct 32.0% > 7%']"
VXX,RED,0.44,0.52,0.48,98,106,20.5,2026-08-21,20.28,0.49,,,,48.0,0.08000000000000002,0.1666666666666667,True,False,False,False,"['spread $0.080 > $0.05', 'spread_pct 16.7% > 7%', 'low liquidity (OI=106, Vol=98)']",0.58,0.83,0.705,121,328,20.5,2026-08-21,20.28,0.7,,,,70.5,0.25,0.3546099290780142,True,False,False,False,"['spread $0.250 > $0.05', 'spread_pct 35.5% > 7%', 'low liquidity (OI=328, Vol=121)']"
VZ,RED,0.75,0.88,0.815,2333,4346,47,2026-08-21,47.04,0.8,,,,81.5,0.13,0.15950920245398775,False,False,True,False,"['premium too high ($81.50)', 'spread $0.130 > $0.05', 'spread_pct 16.0% > 7%']",0.51,0.84,0.675,28,1404,47,2026-08-21,47.04,0.76,,,,67.5,0.32999999999999996,0.4888888888888888,True,False,True,False,"['spread $0.330 > $0.05', 'spread_pct 48.9% > 7%']"
ET,RED,0.31,0.39,0.35,237,2635,20.5,2026-08-21,20.59,0.35,,,,35.0,0.08000000000000002,0.22857142857142862,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 22.9% > 7%']",0.16,0.25,0.205,262,232,20.5,2026-08-21,20.59,0.23,,,,20.5,0.09,0.43902439024390244,True,False,False,False,"['spread $0.090 > $0.05', 'spread_pct 43.9% > 7%', 'low liquidity (OI=232, Vol=262)']"
