ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.48,0.49,0.485,16489,7172,17.5,2026-09-18,17.65,0.48,,,,48.5,0.010000000000000009,0.020618556701030948,True,True,True,True,[],0.32,0.33,0.325,5217,12225,17.5,2026-09-18,17.65,0.32,,,,32.5,0.010000000000000009,0.030769230769230795,True,True,True,True,[]
MARA,GREEN,0.48,0.49,0.485,9822,8807,11.5,2026-09-18,11.51,0.48,,,,48.5,0.010000000000000009,0.020618556701030948,True,True,True,True,[],0.46,0.48,0.47,5078,12054,11.5,2026-09-18,11.51,0.48,,,,47.0,0.019999999999999962,0.042553191489361625,True,True,True,True,[]
BAC,YELLOW,0.98,1.02,1,3229,32,59,2026-09-18,59.465,0.99,,,,100,0.040000000000000036,0.040000000000000036,False,True,True,False,['premium too high ($100.00)'],0.48,0.51,0.495,15983,2195,59,2026-09-18,59.465,0.52,,,,49.5,0.030000000000000027,0.06060606060606066,True,True,True,True,[]
UVXY,YELLOW,0.57,0.65,0.61,2229,2327,18,2026-09-18,18.21,0.65,,,,61.0,0.08000000000000007,0.13114754098360668,True,False,True,False,"['spread $0.080 > $0.05', 'spread_pct 13.1% > 7%']",0.42,0.45,0.435,1035,1238,18,2026-09-18,18.21,0.44,,,,43.5,0.030000000000000027,0.06896551724137938,True,True,True,True,[]
VALE,YELLOW,0.27,0.33,0.3,18,41,14.5,2026-09-18,14.61,0.35,,,,30.0,0.06,0.2,True,False,False,False,"['spread $0.060 > $0.05', 'spread_pct 20.0% > 7%', 'low liquidity (OI=41, Vol=18)']",0.17,0.18,0.175,283,1146,14.5,2026-09-18,14.61,0.15,,,,17.5,0.009999999999999981,0.05714285714285704,True,True,True,True,[]
TQQQ,RED,1.65,1.72,1.685,530,864,69.5,2026-09-18,69.36,1.67,,,,168.5,0.07000000000000006,0.04154302670623149,False,False,True,False,"['premium too high ($168.50)', 'spread $0.070 > $0.05']",1.84,1.92,1.88,317,696,69.5,2026-09-18,69.36,1.9,,,,188.0,0.07999999999999985,0.042553191489361625,False,False,False,False,"['premium too high ($188.00)', 'spread $0.080 > $0.05', 'low liquidity (OI=696, Vol=317)']"
SLV,RED,1.19,1.23,1.21,742,2528,57,2026-09-18,56.84,1.2,,,,121.0,0.040000000000000036,0.03305785123966945,False,True,True,False,['premium too high ($121.00)'],1.15,1.22,1.185,1707,6549,57,2026-09-18,56.84,1.2,,,,118.5,0.07000000000000006,0.059071729957805956,False,False,True,False,"['premium too high ($118.50)', 'spread $0.070 > $0.05']"
SQQQ,RED,0.95,0.99,0.97,4117,23843,40,2026-09-18,39.77,0.98,,,,97.0,0.040000000000000036,0.041237113402061897,False,True,True,False,['premium too high ($97.00)'],1.13,1.22,1.175,869,3333,40,2026-09-18,39.77,1.23,,,,117.5,0.09000000000000008,0.07659574468085113,False,False,True,False,"['premium too high ($117.50)', 'spread $0.090 > $0.05', 'spread_pct 7.7% > 7%']"
GDX,RED,2,2.28,2.14,285,2647,94,2026-09-18,94.27,2.13,,,,214.0,0.2799999999999998,0.130841121495327,False,False,True,False,"['premium too high ($214.00)', 'spread $0.280 > $0.05', 'spread_pct 13.1% > 7%']",1.87,1.98,1.925,1627,3237,94,2026-09-18,94.27,1.95,,,,192.5,0.10999999999999988,0.05714285714285708,False,False,True,False,"['premium too high ($192.50)', 'spread $0.110 > $0.05']"
RIVN,RED,0.35,0.38,0.365,2317,22486,16,2026-09-18,15.885,0.37,,,,36.5,0.030000000000000027,0.08219178082191789,True,False,True,False,['spread_pct 8.2% > 7%'],0.46,0.52,0.49,1423,19652,16,2026-09-18,15.885,0.52,,,,49.0,0.06,0.12244897959183673,True,False,True,False,"['spread $0.060 > $0.05', 'spread_pct 12.2% > 7%']"
AAL,RED,0.36,0.41,0.385,5442,10953,13,2026-09-18,13.095,0.38,,,,38.5,0.04999999999999999,0.12987012987012983,True,False,True,False,['spread_pct 13.0% > 7%'],0.25,0.27,0.26,1042,14912,13,2026-09-18,13.095,0.26,,,,26.0,0.020000000000000018,0.07692307692307698,True,False,True,False,['spread_pct 7.7% > 7%']
OXY,RED,0.85,0.91,0.88,702,2795,62,2026-09-18,61.79,0.85,,,,88.0,0.06000000000000005,0.06818181818181825,False,False,True,False,"['premium too high ($88.00)', 'spread $0.060 > $0.05']",1,1.19,1.095,1259,184,62,2026-09-18,61.79,1.08,,,,109.5,0.18999999999999995,0.17351598173515978,False,False,True,False,"['premium too high ($109.50)', 'spread $0.190 > $0.05', 'spread_pct 17.4% > 7%']"
RIOT,RED,0.71,0.78,0.745,3225,7211,21,2026-09-18,20.96,0.75,,,,74.5,0.07000000000000006,0.09395973154362425,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 9.4% > 7%']",0.76,0.89,0.825,308,1501,21,2026-09-18,20.96,0.82,,,,82.5,0.13,0.1575757575757576,False,False,True,False,"['premium too high ($82.50)', 'spread $0.130 > $0.05', 'spread_pct 15.8% > 7%']"
